Disease,Protein
D014029,P10145
D001749,P10145
D001943,Q07325
D002446,Q07325
D004715,Q07325
D001927,Q6LCZ7
D003093,Q6LCZ7
D001327,P49682
D001943,Q5MIL4
D004715,P00167
C567102,P00167
D009765,P00167
D003924,Q86SL0
D000075222,Q86SL0
D000075222,P04839
D009765,P99999
D006528,Q9NQC7
D011471,Q16316
D001943,Q1HB44
D006528,Q1HB44
D011471,Q1HB44
D001749,Q1HB44
D001321,Q8IYG4
D001943,Q8IYG4
D004715,Q8IYG4
D004938,Q8IYG4
D010024,Q8IYG4
D011085,Q8IYG4
D011471,Q8IYG4
D001943,Q5J9B1
D006528,Q5J9B1
D011471,Q5J9B1
D006528,P05177
D015179,P05177
D003924,P05177
D008175,P05177
D001943,Q53TK1
D015179,Q53TK1
D008175,Q53TK1
D009765,Q53TK1
D011471,Q53TK1
D001943,Q07973
C562999,Q07973
D008175,Q07973
D010024,Q07973
D009765,Q9NR63
C562688,Q9UP42
D001927,P11509
D018288,P11509
D015179,P11509
D008175,P11509
D011471,P11509
D013274,P11509
D014029,P11509
D006528,Q9UNX8
D011471,Q2XN56
D016649,Q767A3
D011471,Q767A3
D006528,P10632
D000544,Q6NWU0
D001943,Q6NWU0
D010300,Q6NWU0
D000437,Q6NWT7
D001249,Q6NWT7
D006528,Q6NWT7
D008175,Q6NWT7
D008228,Q6NWT7
D009765,Q6NWT7
D010300,Q6NWT7
D011471,Q6NWT7
C564005,Q6VVX0
D006528,Q9NYL5
D001943,Q7Z448
D012516,Q7Z448
D011471,Q7Z448
D011471,Q9HB51
D000075222,Q96RK8
D011471,Q96RK8
D000544,Q9Y6A2
D006528,Q02928
D001749,Q8WWV1
D011471,Q05C57
D010024,Q6DCB0
D008175,Q5VWQ8
D011471,Q5VWQ8
D015179,Q9NYF0
D011471,Q9UMK9
D001321,P19801
D012559,P19801
D012559,Q8IWM3
D001943,P51398
D002292,P53355
D015470,P53355
D008175,P53355
D010003,Q9UN19
D006528,Q5T382
D009447,Q5T382
D010673,Q5T382
D006528,Q8NA75
D011471,Q58WW2
D011085,Q96IX0
D013274,Q96IX0
D015179,Q49AK4
D004938,Q49AK4
D015179,Q5VZY9
D006528,Q6FH10
D004715,Q9H295
D010001,Q9H295
D020734,Q6AWB1
D003550,Q9UJW0
D009765,Q7Z4W1
D011471,Q7Z4W1
D011225,Q5SSV3
D013274,Q16531
D010300,Q6IBS8
D020734,Q6IBS8
D010673,Q6IBS8
D001943,Q53YD1
D003922,Q53YD1
D009765,Q53YD1
D010300,Q9NX09
D008175,Q96T62
D011471,Q96T62
D004715,P17844
D011085,Q8TDD1
D010300,P12838
D008180,Q9H4E7
D003093,Q01523
D015212,Q01523
D011471,P60022
D001943,P35659
D006528,Q5TB30
D006528,Q8WUY9
D001943,Q9NTK1
D004715,Q9NTK1
D001943,Q5RLN2
D005317,Q5RLN2
D013274,Q5RLN2
D012559,Q8IWC8
D009396,Q8WYQ5
D003924,Q53SV4
D000544,Q15392
D001321,Q9UBM7
D011471,Q9UQ10
D001321,P00374
D001943,P00374
D015179,P00374
D012516,P00374
D014029,Q9Y394
D011471,Q7L2E3
D006816,Q502X2
D011471,Q502X2
D004715,Q5D0K5
D009396,Q5D0K5
D004715,Q9NZL0
D001943,P55073
D001321,Q8NDZ4
D006528,Q9H7Y0
D020817,Q9NRI2
D001321,Q9NRI2
D012559,Q9NRI2
D001321,Q155Q3
D012559,Q155Q3
D015179,Q45XF9
D013274,Q45XF9
D012559,Q6PJH1
D001321,Q9P1A6
D006528,Q15398
D005317,Q969Y6
D001943,Q9NR61
D001321,Q53SU3
D001321,Q53QU7
D002311,Q9UPB5
D046152,Q9UPB5
D011085,Q9UPB5
D005910,Q05C95
D001249,Q8TE73
D008175,Q6TDU7
D011471,Q8N4C5
D011471,Q13217
D008180,P24855
D011471,Q92874
D006528,Q13609
D008175,Q13609
D008180,Q13609
D002292,Q96M86
D010300,Q32Q67
D001249,P26358
D001943,P26358
D011471,P26358
D013274,P26358
D001943,Q8WVA9
D007948,Q8WVA9
D015470,Q8WVA9
D008175,Q8WVA9
D001943,Q2PJS8
C537243,Q2PJS8
D011471,Q2PJS8
D013274,Q2PJS8
D001321,Q75MU6
D009447,Q86XD0
D008175,Q2TA81
D008175,Q7L591
D015179,Q9NYP3
D015179,Q8TEK3
D011471,Q8TEK3
D015179,Q9H3H5
D013274,Q9H3H5
D003093,Q6I9V1
D010003,Q6I9V1
D001321,Q12882
D001943,Q12882
D006528,Q12882
D015179,Q12882
D008175,Q12882
D009765,Q12882
D012559,Q12882
D013274,Q12882
D000544,Q16555
D010003,Q16555
D010300,Q8NBI3
D001321,Q6FH34
D010300,Q6FH34
D012559,Q6FH34
D001289,Q6LDH7
D010300,Q6LDH7
D020734,Q6LDH7
D010911,Q6LDH7
D012559,Q6LDH7
D014029,Q6LDH7
D001321,Q9NY31
D012559,Q9NY31
D005879,Q9NY31
C536545,Q9NY31
D001289,Q8WXP7
D012559,Q8WXP7
D001289,P21918
C535428,P21918
D014103,P21918
D001943,Q9HAX1
D006528,Q9NZJ0
D012559,Q96EV8
D001943,Q8N9I9
D004715,P28562
D009103,Q4G0W2
C562785,Q689E8
D001943,Q49AI6
D001943,Q01094
D006528,Q01094
D006528,Q96CJ1
D008175,Q96CJ1
D011471,Q96CJ1
D013274,Q14213
D003924,P42892
D000075222,P42892
D009765,P30084
D013274,P30084
D006528,Q2QKP8
D003093,Q2QKP8
D013274,Q2QKP8
D006528,Q9H8V3
D012559,Q9BV94
D001145,Q6FH53
D001249,Q6FH53
D003924,Q6FH53
D006976,Q6FH53
D020961,Q6FH53
D009404,Q6FH53
D010300,Q6FH53
D011225,Q6FH53
D003924,P25101
D020181,P25101
D001943,P24530
D003924,P24530
D006976,P24530
D013274,Q96EB3
D013274,Q05639
D001943,P24534
D001943,Q6PK56
D002292,Q6PK56
D008175,Q6PK56
D010003,Q6PK56
D001943,Q580Q6
D015179,Q580Q6
D008175,Q580Q6
D011471,Q6FH22
D004832,Q5JVL4
D020190,Q5JVL4
D005910,Q7Z2Z2
D001943,P20827
D009765,P98172
D008175,Q2PDH7
D001321,Q6QBS2
D001943,Q6QBS2
D006528,Q6QBS2
D011471,Q6QBS2
D011125,Q9H3D0
D001943,Q9H3D0
D006528,Q9H3D0
D002311,Q9H3D0
D015179,Q9H3D0
D003924,Q9H3D0
D004715,Q9H3D0
D004938,Q9H3D0
D008175,Q9H3D0
D012516,Q9H3D0
D011471,Q9H3D0
D013274,Q9H3D0
D001749,Q9H3D0
D001327,Q546S1
D006528,Q546S1
D008175,Q546S1
D011471,Q546S1
D001321,P11161
D006528,P11161
D011471,Q8NDI1
D005910,Q9H4M9
D006528,Q9NZN3
D015470,Q9NZN3
D011471,Q9NZC4
D005198,Q08426
D011471,Q08426
D015470,Q96KQ7
D008175,Q96KQ7
D011471,Q8IW76
D006976,Q9P2K8
D007154,Q9P2K8
D000544,Q53XC0
D012516,Q53XC0
D001943,Q6IBR8
D011471,Q7Z5T5
D006528,Q6IB98
D015179,Q6IB98
D011471,Q6IB98
D001321,Q32Q75
D015470,Q13541
D001321,Q96I65
D012559,Q6IBU0
D007627,Q8WXQ9
D001943,P56537
D011471,Q9BQ52
D004715,Q15717
D001943,P41970
D002292,Q15369
D001943,Q9H9T3
D011471,Q8WWD6
D011471,Q6IBD3
D001943,Q7Z589
D011085,Q7Z589
C537243,Q7Z589
D008175,Q04743
D001321,P19622
D015470,Q8N8S7
D003550,Q96CG0
D000544,P06733
D001943,P06733
D006528,P06733
D004938,P06733
D010003,P06733
D010024,P06733
D013274,P06733
D015470,Q6FHV6
D020961,Q6FHV6
D010300,Q6FHV6
D001749,Q6FHV6
D003924,P22413
D004715,P22413
D009765,P22413
D011471,Q9UJA9
D009765,Q5QPJ7
D001943,Q7Z6C1
D015179,Q7Z6C1
D009765,Q7Z6C1
D001749,Q7Z6C1
D006528,Q53ST6
D002292,Q53ST6
D001943,Q96HL7
D003924,Q52LR7
D011471,P16422
D000544,P21709
D015179,P21709
D001943,Q96L35
D006528,Q6FGZ3
D015470,Q6FGZ3
D008175,Q6FGZ3
D008228,Q6FGZ3
D009101,Q6FGZ3
D011225,Q6FGZ3
D011471,Q6FGZ3
D012559,P34913
D013274,Q9H6B9
D001943,P19235
D006528,Q8TE67
D011471,Q8TE67
D001943,Q9UK79
D002292,Q9UK79
D004938,Q9UK79
D005910,Q9UK79
D008175,Q9UK79
D011471,Q9UK79
D013274,Q9UK79
D001749,Q9UK79
D001943,P21860
D008175,P21860
D011471,P21860
D008175,Q8WWH8
D013274,Q8WWH8
D015179,Q2TB79
D017488,Q2TB79
D011471,Q2TB79
D013274,Q2TB79
D001749,Q2TB79
D001749,Q92889
D015179,Q9NR54
D008175,Q03468
D011471,P50548
D015470,Q7LDT7
D011471,Q7LDT7
D008175,Q5JWS2
D006528,P30040
D011471,P30040
D011471,Q9BS26
D004715,Q9UJM3
D011085,Q9UJM3
D012559,Q96AP7
D010003,P10768
D006528,Q9NQ30
D001749,Q14674
D000544,Q9UE35
D001943,Q9UE35
D006528,Q9UE35
D008175,Q9UE35
D009447,Q9UE35
D009765,Q9UE35
D011471,Q9UE35
D001749,Q9UE35
D001145,Q7LCB3
D001943,Q7LCB3
D015179,Q7LCB3
D004715,Q7LCB3
D011471,Q7LCB3
D001749,Q7LCB3
D001943,Q96I02
D012516,Q96I02
D005317,P62508
D006528,P13804
D010003,P13804
D009765,Q547S8
D002446,Q6FG54
D003924,Q6FG54
D008180,Q6FG54
D001943,P15036
D015179,P50549
D011471,P50549
D011471,P41162
D001943,P43268
D011471,P43268
D011471,P41161
D015470,Q9UME7
D001943,Q499Z9
D015179,Q499Z9
D011471,Q01844
D001943,Q5T399
D006528,Q5T399
D015179,Q5T399
D013274,Q9NQT4
D001321,Q16394
D015179,Q96CJ7
D001943,Q75MQ0
D006528,Q75MQ0
D012516,Q75MQ0
D055728,Q75MQ0
D011471,Q75MQ0
D010003,Q6NUR7
D011471,Q6NUR7
D054179,Q1JR85
D019851,Q9NZ69
D000544,Q8TD58
D006528,Q8TD58
D000083242,Q8TD58
D009765,Q8TD58
D012559,Q8TD58
D019851,Q8TD58
D013274,P25116
D001943,P13726
D009404,P13726
D011125,Q8IUL1
D005166,Q8IUL1
D000083242,Q8IUL1
D001327,Q2VF45
D006467,Q2VF45
D019851,Q2VF45
D006467,Q86XR9
D006816,Q7L5A8
D009765,Q7L5A8
D002292,Q6GMR7
D006528,Q01469
D011471,Q96CS3
D005910,Q6IAM1
D006528,Q6SJ93
D002292,Q6SJ93
D006528,Q9H6L5
D013274,Q92567
D006528,Q6UWF9
D004715,Q6UWF9
D003924,Q9H0X4
D012559,Q96BQ1
D006528,Q96MK2
D006528,Q5QP12
D006528,Q9H4H8
D001749,Q9Y500
D006528,Q9BXW9
D006528,Q9NVI1
D001327,Q9UET8
D002311,Q9UET8
D003924,Q9UET8
D015470,Q9UET8
D008175,Q9UET8
D009157,Q9UET8
D001749,Q9UET8
D002311,Q53ZZ1
D006950,Q53ZZ1
D008175,Q53ZZ1
D009103,Q53ZZ1
D011471,Q53ZZ1
D001943,Q6PJJ3
D006528,Q6PJJ3
D002311,Q6PJJ3
D009765,Q6PJJ3
D012559,Q7L8L6
D015179,Q14517
D013274,Q6V0I7
D006528,Q969F0
D001327,Q96BS4
D001943,Q96BS4
D004715,P23142
D011471,P23142
D015179,Q86V58
D006976,Q9UBX5
C563838,Q9UBX5
D011471,Q9UBX5
D004715,Q75N89
D015179,P35556
D006528,Q5VZC3
D010300,Q5VZC3
D013274,Q5VZC3
C537243,Q9HCM7
D006528,Q96D16
D001321,Q9UH90
D011085,Q9H4M3
D011471,Q9H4M3
D001943,Q969H0
D005910,Q969H0
D001749,Q8N3Y1
D010300,Q30219
D013274,Q9Y6R7
D003093,P12318
D003550,P12318
D008180,P12318
D001327,Q8NIA0
D008180,Q8NIA0
D002446,P08637
D006528,Q14CE6
D006528,Q6UXM4
D006528,Q6IAX1
D015179,Q6FHX6
D008175,Q6FHX6
D001749,Q96AC1
D000347,Q8WW76
D010024,Q8WW76
D019851,Q8WW76
D000347,P02675
D010024,P02675
D010300,P02675
D001289,P98174
D001943,Q6ZNL6
D013274,Q6ZNL6
D001943,Q8NFI9
D011471,Q8NFI9
D005910,P09038
D009404,P09038
D011471,P09038
D003922,Q9NSA1
D003924,Q9NSA1
D009765,Q9NSA1
D001943,P11487
D006528,P11487
D001943,P08620
D006528,P08620
D011470,Q6RK68
D008175,P31371
D001943,P11362
D006528,P11362
D005910,P11362
D008175,P11362
D012559,P11362
D001943,P21802
D008175,P21802
D013274,P21802
D015179,Q9NRB6
D009101,Q9NRB6
C563236,Q9NRB6
D001749,Q9NRB6
D011471,P22455
D000347,P02679
D007627,P02679
D013274,P02679
D009765,Q96C11
D008175,Q71VB2
D011471,Q71VB2
D013274,Q71VB2
D001943,Q6I9R8
D015470,Q6I9R8
D015179,Q9P100
D013274,Q7Z7B0
D017681,Q6UN15
D013274,Q53XJ5
D004715,Q2TA84
D001943,Q9UIM3
D001943,Q96Q35
D002292,Q8NFG4
D015179,Q8NFG4
D016112,Q4JFL9
D001943,Q6NXF2
D015179,Q14315
D001943,P17948
D002292,P17948
D011225,P17948
D015470,P36888
D006528,Q9Y5Y0
C564015,Q96HJ9
D002292,Q96L17
D004715,Q99518
D011125,P31513
D001321,Q8IXW7
D016649,Q8IXW7
D001943,Q7L553
D005902,Q53EP0
D011471,Q2VPJ0
D012516,P15328
D001943,Q6FG41
D006528,Q6FG41
D004715,Q6FG41
D008175,Q6FG41
D009765,Q6FG41
D014277,Q6FG41
D006528,Q6FGK6
D008175,Q6FGK6
D008175,Q9H5M2
D001943,P55317
D011471,P55317
D011471,P55318
D005902,Q12948
D011471,Q12948
D008175,Q6VB84
D008175,Q5VV16
C562419,Q53ZD3
D015179,Q53ZD3
D007627,Q53ZD3
D001943,Q53Y49
D006528,Q53Y49
D008175,Q53Y49
D006976,Q12778
D015470,Q12778
D011471,Q12778
D018232,Q12778
D004715,Q12778
D001321,Q6IAJ1
D001321,Q8NFT3
D001249,Q9BZS1
D001943,Q9BZS1
C580192,Q9BZS1
D008175,Q9BZS1
D011085,Q9BZS1
D011471,Q96AP5
D001943,Q9C009
D015179,Q96LE4
D008228,Q96LE4
D010003,Q53QT6
D013274,Q9BTV5
D000437,Q27RP3
D001943,Q6FHE1
D006528,Q6FHE1
D013274,Q6FHE1
D005910,Q6NZ44
D007627,Q6NZ44
D007627,Q6S4P3
D009765,Q6S4P3
D010003,Q6S4P3
D001943,Q9C0B1
D003924,Q9C0B1
D009765,Q9C0B1
D008175,Q6PJY1
D015470,Q9H0Q3
D013274,Q14342
D000437,Q8IW08
D001321,Q8IW08
D001321,P14867
D020190,P14867
D000437,Q8TBI4
D001321,Q8TBI4
D001321,P34903
D001321,P48169
D001321,P31644
D012559,Q16445
D001321,P18505
D012559,P47870
D001321,P28472
D004832,P28472
D000437,P18507
D001321,Q8IVA8
D012559,Q8IVA8
D012559,Q5VZ31
D011471,P24522
D013274,P24522
D010300,Q3B835
D015179,Q68VJ1
D001943,Q68VJ8
D011471,Q68VJ6
D006528,Q0QET7
D015179,Q0QET7
D004938,Q0QET7
D010003,Q0QET7
D010024,Q0QET7
D020734,Q0QET7
D015470,Q99501
D009765,Q29RX5
D008175,P01350
D013274,P01350
D015470,P23769
C537907,P23771
D006689,P23771
D009447,P23771
D000437,P43694
D015179,P43694
D015179,Q9BWX5
D008175,Q05CA6
D013274,Q86YP4
D005198,P50440
D005776,P04062
C564306,P04062
D006976,P04062
D020961,P04062
D010300,P04062
D020734,P04062
D006528,Q9H227
D006111,P38435
D008175,P38435
D009103,P38435
D012559,P38435
D003924,P01275
D009765,P01275
D003924,Q53Y25
C564219,Q53Y25
D003924,Q14397
D003924,Q14TF0
C565557,Q14TF0
D008175,Q14TF0
D003924,P48507
D011471,Q02742
D001943,P55107
D006528,Q99988
D011471,Q99988
D006528,Q9UK05
D006976,Q9UK05
D010003,Q2NKW7
D005910,P39905
D006816,P39905
D010300,P39905
D020734,P39905
D010673,P39905
D020961,P14136
D010300,P14136
D014277,P14136
D015470,Q99684
D009765,Q06210
D015179,Q92820
D001749,Q92820
D000437,Q6NZY2
D011471,Q6NZY2
D009765,Q6IYF1
D010911,Q6IYF1
D001321,Q9NRZ8
D006528,Q9NRZ8
D011471,Q9NRZ8
D003093,Q9UBU3
D004938,Q9UBU3
D009765,Q9UBU3
D006528,Q14691
D001289,Q9BSI3
D001145,P17302
D001321,P17302
D001943,P17302
D008175,P17302
D011471,P17302
D006528,P08034
D002292,P08034
D008175,P08034
D013274,Q53YU7
D006528,P08151
D046152,P08151
D001749,P08151
D046152,Q6RSW2
D046152,P10071
D013274,P10071
D009396,P48060
D046152,Q9BZE0
D003922,Q1PHK4
D003924,Q1PHK4
D001321,Q04760
D003924,P43220
D010003,Q53TX0
D005317,Q9UQV0
D006528,P15104
D009765,P15104
D013274,Q86SZ5
D003093,Q03113
D001943,Q99061
D006528,Q8N6I9
D005359,Q5JWE9
D009447,Q5JWE9
D009765,Q5JWE9
D011085,Q5JWE9
D006528,Q8N652
D003924,P16520
D000075222,P16520
D009765,P16520
D015179,Q9HAV0
D015179,Q96F32
D011471,P63218
D006528,Q14749
D011471,Q14749
D009765,Q8TDQ7
C562785,P01148
D011471,Q86W71
D010024,Q5T7V8
D001606,P07359
D001606,P13224
D011085,P13224
D003924,Q8N1A3
D001606,P14770
D006528,Q8IYG2
D009396,Q8IYG2
D009396,Q86SV6
D009404,P78333
D010024,Q9Y625
D003924,Q53T76
D010024,Q53T76
D001943,Q99527
D000437,Q9NQX3
D001943,P06744
D006528,Q86YB0
D001943,Q96F58
D015179,Q96F58
D012559,Q6NV75
D001321,Q49AJ5
D006528,Q5T848
D009765,Q13304
D006528,Q7Z4H2
D001321,Q7L4Q3
D001943,Q7L4Q3
D002311,Q7L4Q3
D003924,Q7L4Q3
D008175,Q7L4Q3
D009765,Q7L4Q3
D010024,Q7L4Q3
D010300,Q7L4Q3
D001749,Q7L4Q3
D001943,P18283
D004715,Q6NXQ3
D005198,Q6NXQ3
D008175,Q6NXQ3
D009765,Q6NXQ3
D011471,Q6NXQ3
D001943,Q6PJX4
D015179,Q6PJX4
D003924,Q53QQ0
D001943,Q14451
D002292,Q14451
D008175,Q14451
D011471,Q14451
D004715,Q6IPM5
D011471,Q6IPM5
D011471,Q5M7Z5
D001321,P42261
D065631,P42261
D065631,P42262
D015179,Q9ULK0
D001321,Q9BZ15
D001943,Q9BZ15
D004938,Q9BZ15
D012559,Q9BZ15
D012559,Q16478
D014277,Q5VSF9
D001321,Q547U9
D015179,Q547U9
D012559,Q13224
D001289,Q13255
D012559,Q14416
D012559,Q14832
D012516,Q14833
D001289,P41594
D001289,Q14831
D011471,P30550
D001249,Q8TAX9
D012559,P49840
D000544,Q86TM2
D001943,Q86TM2
D011471,Q86TM2
D012559,Q86TM2
D001749,Q86TM2
D010024,Q5T0I0
D020734,P00390
C536835,P48637
D011471,P08263
D010300,Q5JW88
D011471,Q8NEC7
D010003,Q6FII1
D011471,Q6FII1
D001249,Q16041
D001321,Q16041
D006528,Q16041
D002292,Q16041
D015179,Q16041
D003924,Q16041
D008175,Q16041
D010300,Q16041
D011471,Q16041
D011928,Q16041
D001749,Q16041
D015179,Q6FGJ9
D011471,Q6FGJ9
D011471,Q5TA02
D001749,Q9H4Y5
D001249,Q5D6A5
D001321,Q5D6A5
D001943,Q5D6A5
D006528,Q5D6A5
D002292,Q5D6A5
D005910,Q5D6A5
D006689,Q5D6A5
D015464,Q5D6A5
D008175,Q5D6A5
D012516,Q5D6A5
D010300,Q5D6A5
D011471,Q5D6A5
D013274,Q5D6A5
D001749,Q5D6A5
D002292,Q4W252
D008175,Q4W252
D009101,Q4W252
D011471,Q4W252
D011928,Q4W252
D015470,Q499G6
D006528,Q9NYZ3
D009404,Q16661
D011471,Q96NT3
D001943,P33402
D015179,P33402
D015179,P25092
D001145,Q8N5Y3
D006528,P54840
D001321,P10144
D001943,P10144
D015470,P07305
D001943,P16403
D015470,P16403
D001943,P16104
D001943,P62807
D011471,P62807
D005910,P84243
D005910,P68431
D011471,P62805
D009765,Q16836
D010003,P40939
D001943,P55084
D006528,Q6KC15
D006527,Q6KC15
D009447,Q3T1D5
D011471,Q9UJM8
D006528,Q5QP02
D015179,P10915
D001943,Q86UW8
D001327,P12081
D002292,P12081
C537243,Q5VY60
D003924,Q9NQT3
D011087,Q9NQT3
D011087,Q9Y6D8
D004715,Q1HK36
D013274,Q1HK36
D010300,Q14412
D011471,Q14412
D011471,Q9UNL6
D012559,Q8TDS4
D000075222,P49019
D001327,P08631
C567924,Q86WJ6
D009101,Q6MZN7
D004715,Q6IT96
D004715,Q92769
D001749,P56524
D002311,Q9BRX7
D012516,Q9BRX7
D011471,Q9BRX7
D005879,Q9UBI9
D001321,Q96CF6
D003924,Q9Y4D8
D011085,Q76H82
D006528,Q9UII4
D004715,Q9UII4
D011471,Q15011
D001943,Q8IXV0
D008175,Q8IXV0
D001943,Q9Y5J3
D008175,Q9Y5J3
D001943,Q5TF93
D001943,Q9NQ87
D000544,Q9UK37
D010300,Q9UK37
D006528,P14210
D015470,P14210
D009447,P14210
D010300,P14210
D006528,Q04756
D001943,Q03014
D003924,Q03014
D006528,Q96QV1
D015179,Q96QV1
D046152,Q96QV1
D010003,Q6NVY1
D001943,Q70SM2
D001943,Q16665
D006976,Q16665
D011471,Q16665
D001749,Q16665
D013274,Q53FT3
D008175,Q9Y5L2
D012559,P49773
D046152,Q5SQL3
D046152,Q9H2X6
D006528,Q8NCD3
D003924,P78542
D009765,Q53SG7
D001321,Q9UQU5
D005910,Q9UQU5
D009101,Q9UQU5
D005910,Q9Y4H6
D009157,Q9Y4H6
D005910,Q9UQT3
D001249,Q9UM37
D002446,Q9UM37
D004715,Q9UM37
D009103,Q9UM37
D009157,Q9UM37
D012507,Q9UM37
D001249,Q9UEF5
D002446,Q9UEF5
D003922,Q9UEF5
D008180,Q9UEF5
D001249,Q9TQE4
D002446,Q9TQE4
D003922,Q9TQE4
D009103,Q9TQE4
D009290,Q9TQE4
D009103,Q30125
D010300,Q30125
D001249,Q9Y4H8
D001321,Q9Y4H8
D003093,Q9Y4H8
D003922,Q9Y4H8
D008180,Q9Y4H8
D008228,Q9Y4H8
D009103,Q9Y4H8
D009290,Q9Y4H8
D009404,Q9Y4H8
D012507,Q9Y4H8
D012559,Q9Y4H8
D000544,Q9TPE2
D003924,Q9TPE2
D010300,Q9TPE2
D001249,Q9TP14
D003924,Q9NP66
D003924,Q6IPL9
D000075222,Q5T7C4
D006528,P26583
D009765,P26583
D011471,P26583
D001327,P04035
D006528,P04035
D006938,P04035
D005910,Q5JSL0
D011471,Q5JSL0
D001749,Q5JSL0
D001943,Q6PIR6
D006528,Q6PIR6
D015464,Q6PIR6
D011085,Q6PIR6
D000326,Q96DI8
D000544,Q96DI8
D001249,Q96DI8
D001943,Q96DI8
D003924,Q96DI8
D008175,Q96DI8
D009765,Q96DI8
D010300,Q96DI8
D011225,Q96DI8
D011471,Q96DI8
D013274,Q96DI8
D020325,Q6IBP2
D002292,P20823
D003922,P20823
D003924,P20823
C563933,P20823
D002292,P35680
D003924,P35680
D011471,P35680
D003093,Q8NHY1
D003924,Q8NHY1
C565101,Q8NHY1
D001249,Q9P1Y0
C563476,P09651
D012559,P51991
D011471,P31943
D001943,Q5T6W2
D001943,Q6NTA2
D013274,Q6NTA2
D001321,Q1KMD3
D001321,P49639
D006528,Q5I0Y5
D006528,Q6DI00
D015470,P31269
D001749,P31269
D001943,Q4KR72
C537243,Q4KR72
D011471,Q4KR72
D009765,P09067
D009771,P17481
D001943,P17482
D011471,P17482
D015179,Q96CA4
D001321,Q14DW8
D001943,Q14DW8
D005910,Q14DW8
D011471,P31249
D006528,P28356
D015179,P28356
D001327,Q6PEJ8
D001943,Q6PEJ8
D003093,Q6PEJ8
D003922,Q6PEJ8
D003924,Q6PEJ8
D012559,Q6PEJ8
D011471,P15428
D011471,P05981
D001943,Q9Y251
D001327,P02790
D003924,P02790
D001321,P78460
D001943,P78460
D006528,P78460
D005910,P78460
D008175,P78460
D009447,P78460
D011471,P78460
D013274,P78460
C572845,P78460
D001749,P78460
D001943,P04196
D065631,P35367
D012559,P35367
D013274,Q9H3N8
D004715,Q9Y662
D009765,P28845
D001249,P80365
D003922,P80365
D009404,P80365
D004715,P14061
D011471,P14061
D004715,P37059
D011471,Q6FH62
D011085,P14060
D011471,P14060
D006528,Q5QP01
D011085,Q5QP01
D011471,Q5QP01
D001943,Q96HX7
D011471,Q6PK50
D011471,Q96GW1
D010300,P0DMV8
D011471,P0DMV8
D001943,P0DMV9
D006528,P11021
D015464,P11021
D009765,P11021
D013274,Q96IS6
D001327,Q8N1C8
D006528,Q8N1C8
D002292,Q8N1C8
D010300,Q8N1C8
D006528,P04792
D002292,P04792
D015470,P04792
D009101,P04792
D013274,P04792
D002292,Q53SE2
D013274,Q53SE2
D006528,Q9BUP3
D001321,P15515
D013274,Q5ZGX3
D001321,P28222
D001321,P28221
D009771,P28221
D000437,Q9P2Q9
D001249,Q9P2Q9
D001321,Q9P2Q9
D009765,Q9P2Q9
D009771,Q9P2Q9
D012559,Q9P2Q9
D006976,Q7Z580
D009765,Q7Z579
D001321,P46098
D001321,Q8WXA8
D001145,Q13639
D001321,Q86UN1
D012559,P50406
D012559,P34969
D046589,Q05DJ8
D008175,Q05DJ8
D006816,P42858
D003924,P10997
D001943,P21815
D001249,Q5NKV8
D003093,Q5NKV8
D003924,Q5NKV8
D006689,Q5NKV8
D015212,Q5NKV8
D009103,Q5NKV8
D009765,Q5NKV8
D011471,Q5NKV8
D013274,Q9NZC6
D001943,Q8TAM9
D015179,Q8TAM9
D003924,P41134
D015470,Q53T66
D008175,Q02535
D011471,Q02535
D013274,P47928
D000544,P14735
D006528,Q9H302
D005910,Q9H302
D015470,Q9H302
D011471,Q9H302
D015470,P48735
D010003,P48735
D010024,P48735
D010003,Q9H326
D001943,P14902
D004715,P14902
D009765,P14902
D008175,Q14603
D008175,Q9BTL4
D015470,Q96P99
D006111,Q9BYX4
D008180,Q9BYX4
D004715,P09914
D001749,Q9UMJ2
D006528,P01562
D015179,P01562
D002292,P01563
D015179,P01563
D006689,P01563
D015464,P01563
D008228,P01563
D009101,P01563
D011087,P01563
D011928,P01563
D001749,P01563
D001927,P01574
D001943,P01574
D009103,P01574
D009447,P01574
D001749,P01574
D000326,P01579
D001321,P01579
D001327,P01579
D001927,P01579
D001943,P01579
D002446,P01579
D003922,P01579
D006111,P01579
D007896,P01579
D008175,P01579
D009103,P01579
D065631,P01579
D004715,Q7Z687
D016481,Q7Z687
D001249,Q8IZI9
D046152,Q13099
D001943,P78318
D006528,P78318
D008175,P78318
D000544,Q9NP10
D001321,Q9NP10
D001943,Q9NP10
D006528,Q9NP10
D003922,Q9NP10
D004715,Q9NP10
D010911,Q9NP10
D011471,Q9NP10
D001749,Q9NP10
D000544,Q3B833
D001943,Q3B833
D006528,Q3B833
D005317,Q3B833
D020961,Q3B833
D010300,Q3B833
D000544,P01344
D001321,P01344
D006528,P01344
D015179,P01344
D005317,P01344
D020961,P01344
D009765,P01344
D010300,P01344
D009396,P01344
D006528,Q9NZI8
D003924,Q9Y6M1
D000544,Q13661
D006528,Q13661
D020961,Q13661
D010300,Q13661
D011471,Q13661
D006528,Q8TAY0
D004715,Q6PEY6
D009765,P18065
D001321,P17936
D015179,P17936
D011471,P17936
D013274,P17936
D001749,P17936
D001943,Q96HT5
D001749,Q96HT5
D004715,Q9H2B5
D011471,Q9H2B5
D001943,Q16270
D011471,Q16270
