Drug,Protein
DB00537,Q12809
DB00537,P0AES4
DB00537,P0C1U9
DB00537,Q59192
DB00537,P05653
DB00537,C3T8E2
DB00537,B4YQT9
DB00537,P20831
DB00540,P23975
DB00540,P31645
DB00540,P28223
DB00540,P08908
DB00540,P35367
DB00540,P35348
DB00540,P25100
DB00540,P28335
DB00540,P35368
DB00540,P08913
DB00540,P18089
DB00540,P18825
DB00540,P08588
DB00540,P07550
DB00540,P13945
DB00540,P14416
DB00540,O00264
DB00540,Q99720
DB00540,P08909
DB00540,P11229
DB00540,P08172
DB00540,P20309
DB00540,P08173
DB00540,P08912
DB00541,P07437
DB00541,P68366
DB00542,P12821
DB00544,P04818
DB00545,P06276
DB00545,P22303
DB00547,P04150
DB00548,P66010
DB00548,P51857
DB00548,P31213
DB00548,P14679
DB00548,P00582
DB00549,Q9Y271
DB00550,P07202
DB00552,P00813
DB00554,P35354
DB00554,P23219
DB00555,Q15878
DB00555,P35498
DB00555,Q9Y5Y9
DB00555,Q9UI33
DB00555,Q99250
DB00555,Q9NY46
DB00555,P35499
DB00555,Q14524
DB00555,Q01118
DB00555,Q9UQD0
DB00555,Q15858
DB00555,P30542
DB00555,P29274
DB00555,P35348
DB00555,P08913
DB00555,P08588
DB00555,P21728
DB00555,P21918
DB00555,P14416
DB00555,P14867
DB00555,P47869
DB00555,P34903
DB00555,P48169
DB00555,P31644
DB00555,Q16445
DB00555,P18505
DB00555,P47870
DB00555,P28472
DB00555,O14764
DB00555,P78334
DB00555,Q8N1C3
DB00555,P18507
DB00555,Q99928
DB00555,O00591
DB00555,Q9UN88
DB00555,P14867
DB00555,P47869
DB00555,P34903
DB00555,P31644
DB00555,Q8N1C3
DB00555,P18507
DB00555,Q99928
DB00555,P35367
DB00555,P41145
DB00555,P02708
DB00555,P28223
DB00555,P46098
DB00555,P42261
DB00557,P35367
DB00557,Q12809
DB00559,P24530
DB00559,P25101
DB00563,P04818
DB00563,P31939
DB00563,P00374
DB00564,P35498
DB00564,Q9Y5Y9
DB00564,Q9UI33
DB00564,Q99250
DB00564,Q9NY46
DB00564,P35499
DB00564,Q14524
DB00564,Q01118
DB00564,Q9UQD0
DB00564,Q15858
DB00564,P43681
DB00564,O75469
DB00569,P00742
DB00569,P01008
DB00570,Q71U36
DB00570,P07437
DB00570,Q9UJT1
DB00570,P23258
DB00570,Q9UJT0
DB00570,P05412
DB00571,P08588
DB00571,P07550
DB00571,P13945
DB00571,P08908
DB00571,P28222
DB00572,P11229
DB00572,P08172
DB00572,P20309
DB00572,P08173
DB00572,P08912
DB00572,P23415
DB00572,P43681
DB00572,P17787
DB00573,P35354
DB00573,Q07869
DB00573,P37231
DB00573,P23219
DB00575,P18089
DB00575,P18825
DB00575,P08913
DB00575,P35348
DB00575,P35368
DB00575,P25100
DB00583,P47989
DB00583,P23141
DB00583,P05164
DB00583,P50416
DB00583,Q9H015
DB00583,O76082
DB00583,P43155
DB00583,Q8N8R3
DB00583,O43772
DB00583,Q9UKG9
DB00583,P23786
DB00584,P12821
DB00585,P25021
DB00586,P35354
DB00586,P23219
DB00588,P04150
DB00588,P06401
DB00588,P47712
DB00588,P08235
DB00589,P14416
DB00589,P35462
DB00589,P21917
DB00589,P28223
DB00589,P28335
DB00589,P21728
DB00589,P21918
DB00589,P08908
DB00589,P28221
DB00589,P41595
DB00589,P28222
DB00589,P08913
DB00589,P18089
DB00589,P18825
DB00589,P34969
DB00590,P35348
DB00590,P25100
DB00590,Q12809
DB00590,Q9H252
DB00590,Q9NS40
DB00590,P35368
DB00591,P04150
DB00591,P04083
DB00591,P07355
DB00591,P12429
DB00591,P09525
DB00591,P08758
DB00591,P04054
DB00593,O43497
DB00594,P37088
DB00594,P51168
DB00594,P51170
DB00594,P51172
DB00594,P19801
DB00594,Q16515
DB00594,P78348
DB00594,P19634
DB00594,P00749
DB00596,P04150
DB00598,P08588
DB00598,P07550
DB00598,P35348
DB00598,P35368
DB00598,P25100
DB00603,P06401
DB00603,P03372
DB00603,P08183
DB00603,P14867
DB00603,P47869
DB00603,P34903
DB00603,P48169
DB00603,P31644
DB00603,Q16445
DB00603,P18505
DB00603,P47870
DB00603,P28472
DB00603,O14764
DB00603,P78334
DB00603,Q8N1C3
DB00603,P18507
DB00603,Q99928
DB00603,O00591
DB00603,Q9UN88
DB00604,Q13639
DB00604,P46098
DB00604,P28223
DB00604,Q12809
DB00605,P35354
DB00605,P23219
DB00605,P15121
DB00605,P27361
DB00605,Q03181
DB00605,Q9Y5Y4
DB00605,O60218
DB00608,P09210
DB00608,P01375
DB00608,Q9NR96
DB00608,Q8ILQ7
DB00608,P09429
DB00608,P09488
DB00608,Q9BYF1
DB00611,P41145
DB00611,P41143
DB00611,P35372
DB00612,P08588
DB00612,P07550
DB00619,P11274
DB00619,P10721
DB00619,P07949
DB00619,P04629
DB00619,P07333
DB00619,P16234
DB00619,Q08345
DB00619,P00519
DB00619,P09619
DB00619,Q16832
DB00620,P04150
DB00622,Q13936
DB00622,Q08289
DB00622,P54289
DB00622,Q01668
DB00622,P54750
DB00622,Q01064
DB00622,P35348
DB00622,P35368
DB00622,P25100
DB00622,P11229
DB00622,P08172
DB00622,P20309
DB00622,P08173
DB00622,P08912
DB00622,P0DP23
DB00622,Q06432
DB00622,Q9Y698
DB00622,O60359
DB00622,Q9UBN1
DB00622,Q9UF02
DB00622,Q9BXT2
DB00622,P62955
DB00622,Q8WXS5
DB00622,P54289
DB00622,Q9NY47
DB00622,Q8IZS8
DB00622,Q7Z3S7
DB00622,Q13936
DB00622,Q01668
DB00622,O60840
DB00622,Q13698
DB00622,Q02641
DB00622,Q08289
DB00622,P54284
DB00622,O00305
DB00622,Q00975
DB00622,O00555
DB00622,Q15878
DB00622,O43497
DB00622,O95180
DB00622,Q9P0X4
DB00622,O43497
DB00622,O95180
DB00622,Q9P0X4
DB00623,P14416
DB00623,P21728
DB00623,P0DP23
DB00623,P10275
DB00623,P28223
DB00623,P28335
DB00624,P10275
DB00624,P03372
DB00624,P08235
DB00627,P49019
DB00627,Q8TDS4
DB00627,Q15274
DB00627,P40261
DB00630,P14324
DB00630,P29074
DB00630,Q13332
DB00630,P23469
DB00630,P38606
DB00631,P09884
DB00631,P23921
DB00635,P04150
DB00636,Q07869
DB00637,P35367
DB00637,Q12809
DB00637,O95259
DB00637,P10636
DB00638,Q9F0I5
DB00640,P30542
DB00640,P29274
DB00640,P29275
DB00640,P0DMS8
DB00641,P04035
DB00641,P20701
DB00641,Q92769
DB00642,P04818
DB00642,P31939
DB00642,P00374
DB00642,P22102
DB00644,P30968
DB00644,Q96P88
DB00647,P35372
DB00647,P41143
DB00647,P41145
DB00647,P23141
DB00647,Q05586
DB00647,Q12879
DB00647,Q13224
DB00647,Q14957
DB00647,O15399
DB00647,Q8TCU5
DB00647,O60391
DB00651,Q07343
DB00651,P27815
DB00651,Q08493
DB00651,Q08499
DB00651,P30542
DB00651,P29274
DB00652,Q99720
DB00652,P35372
DB00652,P41145
DB00653,Q13936
DB00653,Q01668
DB00653,O60840
DB00653,Q13698
DB00653,Q02641
DB00653,Q08289
DB00653,P54284
DB00653,O00305
DB00653,O00555
DB00654,P43088
DB00655,P03372
DB00655,Q92731
DB00655,P10275
DB00655,P11511
DB00655,P04278
DB00657,Q15822
DB00657,P36544
DB00657,P43681
DB00657,P17787
DB00659,Q05586
DB00659,Q12879
DB00659,Q13224
DB00659,Q14957
DB00659,O15399
DB00659,Q8TCU5
DB00659,O60391
DB00659,P41594
DB00659,Q9UBS5
DB00661,Q13936
DB00661,Q00975
DB00661,O00555
DB00661,Q14654
DB00661,O43497
DB00661,O95180
DB00661,Q12809
DB00661,P31645
DB00661,P35348
DB00661,P35368
DB00661,P25100
DB00661,Q06432
DB00661,Q9Y698
DB00661,O60359
DB00661,Q9UBN1
DB00661,Q9UF02
DB00661,Q9BXT2
DB00661,P62955
DB00661,Q8WXS5
DB00661,P54289
DB00661,Q9NY47
DB00661,Q8IZS8
DB00661,Q7Z3S7
DB00661,Q13936
DB00661,Q01668
DB00661,O60840
DB00661,Q13698
DB00661,Q02641
DB00661,Q08289
DB00661,P54284
DB00661,O00305
DB00661,Q00975
DB00661,O00555
DB00661,Q15878
DB00661,O43497
DB00661,O95180
DB00661,Q9P0X4
DB00661,P08183
DB00663,P04150
DB00668,P35348
DB00668,P35368
DB00668,P08588
DB00668,P07550
DB00668,P08913
DB00668,P18089
DB00668,P25100
DB00668,P01375
DB00669,P08908
DB00669,P28221
DB00669,P28222
DB00669,P30939
DB00672,Q09428
DB00674,P22303
DB00674,P36544
DB00674,A9X444
DB00674,P06276
DB00675,P03372
DB00675,Q92731
DB00675,P17252
DB00675,P05771
DB00675,Q05655
DB00675,Q02156
DB00675,P05129
DB00675,P41743
DB00675,Q04759
DB00675,Q05513
DB00675,P04278
DB00675,Q15125
DB00675,P10275
DB00675,Q12809
DB00675,O75469
DB00675,P62508
DB00675,P45983
DB00678,P30556
DB00679,P14416
DB00679,P21728
DB00679,P35348
DB00679,P35368
DB00679,P28223
DB00679,Q12809
DB00682,Q9BQB6
DB00682,O75469
DB00686,P09038
DB00686,P05230
DB00686,P08620
DB00687,P08235
DB00687,P04150
DB00691,P12821
DB00692,P35348
DB00692,P35368
DB00692,P25100
DB00692,P08913
DB00692,P18089
DB00692,P18825
DB00692,Q14654
DB00694,P11388
DB00694,Q02880
DB00695,Q13621
DB00695,P00918
DB00695,Q9HC97
DB00696,P28221
DB00696,P28222
DB00696,P28223
DB00696,P35348
DB00696,P35368
DB00696,P25100
DB00696,P14416
DB00696,P08913
DB00696,P21728
DB00696,P21918
DB00696,P08908
DB00696,P30939
DB00696,P28335
DB00696,P41595
DB00696,P18825
DB00697,Q9Y2I1
DB00697,P35348
DB00697,P35368
DB00697,P25100
DB00697,P08913
DB00697,P18089
DB00697,P18825
DB00699,P35348
DB00704,P35372
DB00704,P41145
DB00704,P41143
DB00704,Q99720
DB00706,P35348
DB00706,P25100
DB00706,P35368
DB00710,O95749
DB00710,P14324
DB00712,P35354
DB00712,P23219
DB00714,P21917
DB00714,P14416
DB00714,P35462
DB00714,P21918
DB00714,P21728
DB00714,P18825
DB00714,P18089
DB00714,P08908
DB00714,P28223
DB00714,P41595
DB00714,P28335
DB00714,P08913
DB00714,P28221
DB00714,P28222
DB00715,P31645
DB00715,P23975
DB00715,P28223
DB00715,P35348
DB00715,P35368
DB00715,P25100
DB00715,P08913
DB00715,P18089
DB00715,P18825
DB00715,P08588
DB00715,P07550
DB00715,P13945
DB00715,P14416
DB00715,P35367
DB00715,P08908
DB00715,P28222
DB00715,P28221
DB00715,P28566
DB00715,P30939
DB00715,P28223
DB00715,P41595
DB00715,P28335
DB00715,P46098
DB00715,O95264
DB00715,Q8WXA8
DB00715,Q70Z44
DB00715,A5X5Y0
DB00715,Q13639
DB00715,P50406
DB00715,P34969
DB00715,P11229
DB00715,P08172
DB00715,P20309
DB00715,P08173
DB00715,P08912
DB00715,P41595
DB00715,P21728
DB00715,P21918
DB00716,Q9Y271
DB00716,Q9NS75
DB00716,P21462
DB00716,Q13258
DB00716,P07900
DB00717,P06401
DB00717,P10275
DB00717,P04150
DB00719,P35367
DB00721,Q9Y5Y9
DB00721,Q8TCU5
DB00721,P46098
DB00721,Q01959
DB00721,Q15822
DB00721,Q12791
DB00721,Q16558
DB00721,Q9Y691
DB00721,Q9NPA1
DB00721,Q86W47
DB00721,O15554
DB00721,Q92952
DB00721,Q9H2S1
DB00721,Q9UGI6
DB00721,P47712
DB00721,Q86U10
DB00721,P21397
DB00721,P27338
DB00721,P26358
DB00721,Q9Y6K1
DB00722,P12821
DB00722,P00797
DB00724,Q9NYK1
DB00724,Q9NR97
DB00727,P16066
DB00731,Q09428
DB00731,P37231
DB00733,P22303
DB00733,P06276
DB00734,P28223
DB00734,P14416
DB00734,P35368
DB00734,P18089
DB00734,P35348
DB00734,P18825
DB00734,P35367
DB00734,P28335
DB00734,P28221
DB00734,P08908
DB00734,P34969
DB00734,P21728
DB00736,P20648
DB00736,O94760
DB00741,P04150
DB00741,P04083
DB00744,P09917
DB00745,Q01959
DB00745,P35368
DB00747,P11229
DB00747,P08172
DB00747,P20309
DB00747,P08173
DB00747,P08912
DB00747,P43681
DB00747,P17787
DB00747,P14410
DB00748,P35367
DB00749,P35354
DB00749,P23219
DB00749,P19793
DB00750,Q14524
DB00751,P35367
DB00751,P25021
DB00751,P35348
DB00751,P08913
DB00751,P28223
DB00751,P34969
DB00754,Q14524
DB00754,O75469
DB00755,P10276
DB00755,P10826
DB00755,P13631
DB00755,P19793
DB00755,P28702
DB00755,P48443
DB00755,P29762
DB00755,P49788
DB00755,P00352
DB00755,O94788
DB00755,Q8NFJ5
DB00755,P31025
DB00755,Q9NY56
DB00755,P02753
DB00755,Q16654
DB00755,Q14081
DB00757,P46098
DB00758,Q9H244
DB00759,P02359
DB00759,P0AG59
DB00759,P0A7V3
DB00759,P0A7W7
DB00759,P0A7U3
DB00759,P04156
DB00759,C9EH48
DB00759,Q9UM07
DB00762,Q969P6
DB00762,P11387
DB00763,P07202
DB00764,P04150
DB00764,P06401
DB00765,P07101
DB00767,P35367
DB00767,P08173
DB00767,P11229
DB00767,P08912
DB00767,P08172
DB00767,P20309
DB00768,P35367
DB00768,P25021
DB00768,Q9Y5N1
DB00768,P23297
DB00768,P80511
DB00768,P04271
DB00768,Q99584
DB00768,P29034
DB00770,P34995
DB00770,P43116
DB00770,P43115
DB00770,P35408
DB00770,Q9Y5Y4
DB00771,P11229
DB00773,P11388
DB00773,Q02880
DB00775,P08514
DB00775,P05106
DB00776,P35498
DB00776,Q9Y5Y9
DB00776,Q9UI33
DB00776,Q99250
DB00776,Q9NY46
DB00776,P35499
DB00776,Q14524
DB00776,Q01118
DB00776,Q9UQD0
DB00776,Q15858
DB00776,Q07699
DB00776,O60939
DB00776,Q9NY72
DB00776,Q8IWT1
DB00780,P21397
DB00780,P27338
DB00780,Q16853
DB00780,P80404
DB00780,P24298
DB00780,Q8TD30
DB00780,Q9UGI5
DB00783,P03372
DB00783,Q92731
DB00783,O75469
DB00783,P43681
DB00783,Q99527
DB00783,P00846
DB00783,Q14457
DB00784,P35354
DB00784,P23219
DB00787,P04293
DB00787,P09252
DB00788,P23219
DB00788,P35354
DB00788,Q51911
DB00790,P12821
DB00790,Q6FHJ7
DB00794,P47869
DB00794,P34903
DB00794,P48169
DB00794,P31644
DB00794,Q16445
DB00794,P14867
DB00794,P47869
DB00794,P34903
DB00794,P48169
DB00794,P31644
DB00794,Q16445
DB00794,P18505
DB00794,P47870
DB00794,P28472
DB00794,O14764
DB00794,P78334
DB00794,Q8N1C3
DB00794,P18507
DB00794,Q99928
DB00794,O00591
DB00794,Q9UN88
DB00794,P14867
DB00794,P43681
DB00794,P36544
DB00794,P42262
DB00794,Q13002
DB00795,P09917
DB00795,P35354
DB00795,P23219
DB00795,P24752
DB00795,P04054
DB00795,Q9UPY5
DB00795,P19838
DB00795,Q00653
DB00795,O14920
DB00795,O15111
DB00795,P37231
DB00796,P30556
DB00800,P21918
DB00800,P21728
DB00800,P35368
DB00800,P25100
DB00800,P35348
DB00800,P18089
DB00800,P18825
DB00800,P08913
DB00804,P11229
DB00804,P20309
DB00804,P08172
DB00806,P29274
DB00806,P30542
DB00806,P21589
DB00808,P55017
DB00810,P11229
DB00813,P35372
DB00813,P41143
DB00813,P41145
DB00813,P08183
DB00814,P35354
DB00814,P23219
DB00816,P07550
DB00819,P00915
DB00819,P00918
DB00819,P22748
DB00819,O43570
DB00819,Q9ULX7
DB00819,P07451
DB00819,P43166
DB00819,P29972
DB00820,O76074
DB00820,Q9HCR9
DB00820,P18545
DB00822,P09172
DB00822,P05091
DB00829,P14867
DB00829,P47869
DB00829,P34903
DB00829,P48169
DB00829,P31644
DB00829,Q16445
DB00829,P18505
DB00829,P47870
DB00829,P28472
DB00829,O14764
DB00829,P78334
DB00829,Q8N1C3
DB00829,P18507
DB00829,Q99928
DB00829,O00591
DB00829,Q9UN88
DB00829,P14867
DB00829,P47869
DB00829,P34903
DB00829,P31644
DB00829,Q8N1C3
DB00829,P18507
DB00829,Q99928
DB00831,P14416
DB00831,Q9NYX4
DB00831,P35348
DB00831,P0DP23
DB00831,P63316
DB00831,P26447
DB00834,P06401
DB00834,P04150
DB00834,P07288
DB00834,O75469
DB00835,P35367
DB00835,P11229
DB00835,P08172
DB00835,P20309
DB00835,P08173
DB00835,P08912
DB00839,Q09428
DB00839,Q14654
DB00843,P22303
DB00843,P28223
DB00843,P06276
DB00843,P29475
DB00843,P98066
DB00843,P01584
DB00843,Q00653
DB00843,P19838
DB00843,Q05586
DB00843,Q12879
DB00843,Q13224
DB00843,Q14957
DB00843,O15399
DB00843,Q8TCU5
DB00843,O60391
DB00844,P41145
DB00844,P35372
DB00844,P41143
DB00846,P04150
DB00847,P49146
DB00848,P32297
DB00848,P10696
DB00848,Q23022
DB00848,Q9N587
DB00848,Q27218
DB00848,P48181
DB00851,Q14181
DB00851,P52209
DB00852,P23975
DB00852,Q01959
DB00852,P35348
DB00852,P08913
DB00852,P31645
DB00852,P07550
DB00852,P08588
DB00852,O95644
DB00852,P01375
DB00852,P19838
DB00852,P18846
DB00852,P15336
DB00852,P18847
DB00852,P18848
DB00852,Q9Y2D1
DB00852,P18850
DB00852,P17544
DB00852,Q8WYK2
DB00852,P01100
DB00852,P05412
DB00852,P60568
DB00860,P04150
DB00861,P35354
DB00861,P23219
DB00863,P25021
DB00863,P22303
DB00864,P62942
DB00865,Q05940
DB00865,P08913
DB00865,P35348
DB00865,Q01959
DB00868,Q14524
DB00869,P00918
DB00869,P22748
DB00869,P00915
DB00869,P07451
DB00871,P07550
DB00871,P13945
DB00871,P08588
DB00876,P30556
DB00880,P55017
DB00880,P00915
DB00880,P00918
DB00881,P12821
DB00882,P03372
DB00882,P04278
DB00883,P16066
DB00884,P14324
DB00887,Q13621
DB00887,P55011
DB00887,Q9UP95
DB00887,Q9H2X9
DB00887,P13569
DB00889,P46098
DB00898,P14867
DB00898,Q8TCU5
DB00898,P23415
DB00898,P23416
DB00898,Q02641
DB00898,P46098
DB00898,P47869
DB00898,Q9GZZ6
DB00898,Q13936
DB00898,P31644
DB00898,P48169
DB00898,P34903
DB00898,P42261
DB00898,Q06432
DB00898,Q15822
DB00898,Q16445
DB00898,P42262
DB00898,P48058
DB00898,P42263
DB00898,P43681
DB00898,P17787
DB00898,P48549
DB00898,P48051
DB00898,P19320
DB00898,Q99808
DB00898,P48544
DB00898,P36544
DB00898,Q9UGM1
DB00898,P18505
DB00898,P28472
DB00898,P47870
DB00898,Q13698
DB00898,Q01668
DB00898,P30926
DB00898,P32297
DB00898,P30532
DB00898,Q15825
DB00898,Q05901
DB00898,Q8N1C3
DB00898,Q99928
DB00898,P78334
DB00898,O00591
DB00898,Q9UN88
DB00898,O14764
DB00898,Q14542
DB00898,A5X5Y0
DB00898,O95264
DB00898,Q70Z44
DB00898,Q8WXA8
DB00898,Q9Y698
DB00898,Q92806
DB00898,P32004
DB00898,P22303
DB00898,P40394
DB00899,P35372
DB00899,P41143
DB00899,P41145
DB00903,Q13621
DB00903,P05023
DB00903,Q9UJU2
DB00903,P09211
DB00904,P46098
DB00904,Q13639
DB00904,P35372
DB00904,P08908
DB00904,P28222
DB00905,P43088
DB00905,P34995
DB00905,P43115
DB00906,P30531
DB00907,Q01959
DB00907,P23975
DB00907,P35498
DB00907,Q9Y5Y9
DB00907,Q9UI33
DB00907,Q99250
DB00907,Q9NY46
DB00907,P35499
DB00907,Q14524
DB00907,Q01118
DB00907,Q9UQD0
DB00907,Q15858
DB00907,Q07699
DB00907,O60939
DB00907,Q9NY72
DB00907,Q8IWT1
DB00907,P31645
DB00907,P11229
DB00907,P08172
DB00907,Q99720
DB00907,P23141
DB00908,Q14524
DB00908,O00180
DB00908,Q9Y257
DB00908,Q12809
DB00908,P35348
DB00908,P35368
DB00908,P25100
DB00909,P35498
DB00909,Q99250
DB00909,Q9NY46
DB00909,P35499
DB00909,Q14524
DB00909,Q15858
DB00909,Q9UI33
DB00909,Q07699
DB00909,O60939
DB00909,Q9NY72
DB00909,Q8IWT1
DB00909,O43497
DB00909,O95180
DB00909,Q9P0X4
DB00909,P00915
DB00909,P00918
DB00909,P07451
DB00909,P22748
DB00909,P35218
DB00909,Q9Y2D0
DB00909,P23280
DB00909,P43166
DB00909,P35219
DB00909,Q16790
DB00909,Q9NS85
DB00909,O75493
DB00909,O43570
DB00909,Q8N1Q1
DB00909,Q9ULX7
DB00909,P27338
DB00909,P21397
DB00909,P14867
DB00909,P47869
DB00909,P34903
DB00909,P31644
DB00909,Q8N1C3
DB00909,P18507
DB00909,Q99928
DB00912,Q09428
DB00912,P37231
DB00912,P35367
DB00915,P21430
DB00915,Q8TCU5
DB00915,P14416
DB00915,P36544
DB00915,P43681
DB00915,P32297
DB00917,P43116
DB00917,P34995
DB00917,P43115
DB00917,P35408
DB00917,Q9Y5Y4
DB00918,P28221
DB00918,P28222
DB00920,P35367
DB00920,P52209
DB00921,P41145
DB00921,P35372
DB00921,P41143
DB00921,P41146
DB00924,P28223
DB00924,P41595
DB00924,P28335
DB00924,P50406
DB00924,P31645
DB00924,P23975
DB00924,P34969
DB00924,O00206
DB00924,Q06278
DB00925,P35348
DB00925,P08913
DB00925,P18825
DB00925,P18089
DB00925,P0DP23
DB00925,P07550
DB00925,P35368
DB00925,P25100
DB00927,P25021
DB00928,P26358
DB00929,P43115
DB00929,P43116
DB00929,P34995
DB00929,P35408
DB00933,P14416
DB00933,P28223
DB00936,P23219
DB00936,P35354
DB00936,Q04828
DB00937,P23975
DB00937,Q01959
DB00938,P07550
DB00938,P08588
DB00938,P13945
DB00939,P23219
DB00939,P35354
DB00939,P09917
DB00939,O43526
DB00939,O43525
DB00945,P23219
DB00945,P35354
DB00945,Q04828
DB00945,Q13131
DB00945,P54646
DB00945,Q9Y478
DB00945,O43741
DB00945,P54619
DB00945,Q9UGJ0
DB00945,Q9UGI9
DB00945,P25101
DB00945,P04637
DB00945,P11021
DB00945,P51812
DB00945,P25963
DB00945,P98066
DB00945,P29466
DB00945,P42574
DB00945,O14920
DB00945,P28482
DB00945,Q8TD08
DB00945,P27361
DB00945,P31152
DB00945,Q16659
DB00945,Q13164
DB00945,P24385
DB00945,P01106
DB00945,P12004
DB00945,Q99519
DB00947,P03372
DB00949,Q13224
DB00949,Q12879
DB00950,P35367
DB00952,P08908
DB00952,P28221
DB00952,P28222
DB00952,P30939
DB00953,P28222
DB00953,P28221
DB00953,P08908
DB00953,P28566
DB00953,P30939
DB00953,P34969
DB00956,P35372
DB00956,P41143
DB00956,Q99720
DB00957,P06401
DB00957,P03372
DB00957,P10275
DB00959,P04150
DB00959,P04083
DB00960,P08588
DB00960,P07550
DB00960,P13945
DB00960,P08908
DB00960,P28222
DB00963,P35354
DB00963,P23219
DB00966,P37231
DB00966,P30556
DB00967,P35367
DB00968,P20711
DB00968,P08913
DB00969,P46098
DB00972,P35367
DB00972,P25021
DB00972,P04054
DB00972,Q16873
DB00973,Q9UHC9
DB00973,P35610
DB00973,P15144
DB00975,Q9Y233
DB00975,O76074
DB00975,P27815
DB00975,P00813
DB00975,P53805
DB00975,P02763
DB00977,P03372
DB00977,O75469
DB00982,P13631
DB00982,P10276
DB00983,P07550
DB00983,P08588
DB00983,P13945
DB00984,P10275
DB00987,P06746
DB00988,P14416
DB00988,P21728
DB00988,P21918
DB00988,P35462
DB00988,P21917
DB00988,Q01959
DB00988,P09172
DB00988,P08908
DB00988,P34969
DB00988,P21728
DB00988,P21918
DB00988,P23975
DB00988,P31645
DB00988,P46098
DB00988,O95264
DB00988,P00441
DB00988,Q05940
DB00989,P22303
DB00989,P06276
DB00990,P11511
DB00991,P23219
DB00991,P35354
DB00993,P63000
DB00995,P30044
DB00995,O14920
DB00996,P54289
DB00996,Q9NY47
DB00996,A0A024R8I1
DB00996,Q00975
DB00996,P30542
DB00996,O43525
DB00996,Q9NR82
DB00997,P11388
DB00997,Q14978
DB00997,P11387
DB00997,Q02880
DB00998,P28221
DB00998,P28222
DB00999,P55017
DB00999,Q12791
DB01001,P07550
DB01001,P08588
DB01001,P13945
DB01002,Q9Y5Y9
DB01003,P25815
DB01005,P23921
DB01006,P11511
DB01009,P35354
DB01009,P23219
DB01009,P25024
DB01012,P41180
DB01013,P04150
DB01013,P04083
DB01013,P08235
DB01014,P37231
DB01014,P35354
DB01014,P23219
DB01014,P09917
DB01016,Q09428
DB01016,Q14654
DB01016,O60706
DB01016,O95342
DB01016,O95477
DB01016,Q14654
DB01016,Q15842
DB01016,P50416
DB01016,P13569
DB01016,Q8TD43
DB01017,P0A7X3
DB01017,P0A7V8
DB01017,P01584
DB01017,P09917
DB01017,P14780
DB01017,P15692
DB01017,P29466
DB01017,P42574
DB01017,P99999
DB01017,P28482
DB01017,P53779
DB01017,Q15759
DB01017,P53778
DB01017,O15264
DB01017,Q16539
DB01017,Q8TD08
DB01017,P27361
DB01017,P31152
DB01017,Q16659
DB01017,Q13164
DB01017,P45983
DB01017,P45984
DB01017,P35228
DB01018,P08913
DB01018,P18089
DB01019,P20309
DB01019,P11229
DB01019,P08172
DB01019,P08173
DB01019,P08912
DB01020,P33402
DB01023,Q13936
DB01023,P54289
DB01023,Q08289
DB01023,Q01668
DB01023,Q13698
DB01023,O95180
DB01023,Q9NY47
DB01023,P0DP23
DB01023,Q01064
DB01023,P54750
DB01023,P08235
DB01023,P02585
DB01023,P63316
DB01026,P50859
DB01026,P05093
DB01026,P10275
DB01026,P08686
DB01026,Q12809
DB01026,O75469
DB01026,Q14994
DB01029,P30556
DB01029,P05412
DB01030,P11387
DB01030,Q969P6
DB01033,P00492
DB01033,Q06203
DB01033,P20839
DB01033,P12268
DB01035,Q12809
DB01035,Q14524
DB01035,P26358
DB01037,P27338
DB01037,P21397
DB01039,Q07869
DB01039,O75469
DB01039,Q9NPA2
DB01041,Q96SW2
DB01041,P02763
DB01041,P19652
DB01043,Q05586
DB01043,Q12879
DB01043,Q13224
DB01043,Q14957
DB01043,O15399
DB01043,Q8TCU5
DB01043,O60391
DB01043,P46098
DB01043,P36544
DB01043,P14416
DB01043,Q05586
DB01043,P14867
DB01043,P47869
DB01043,P34903
DB01043,P48169
DB01043,P31644
DB01043,Q16445
DB01043,P18505
DB01043,P47870
DB01043,P28472
DB01043,O14764
DB01043,P78334
DB01043,Q8N1C3
DB01043,P18507
DB01043,Q99928
DB01043,O00591
DB01043,Q9UN88
DB01043,P23415
DB01043,P23416
DB01043,O75311
DB01043,Q5JXX5
DB01043,P48167
DB01045,P0A8V2
DB01045,O75469
DB01046,P51788
DB01050,P35354
DB01050,P23219
DB01050,P10415
DB01050,P07204
DB01050,P12104
DB01050,P37231
DB01050,P13569
DB01050,Q07869
DB01050,P07359
DB01050,P31151
DB01062,P20309
DB01062,P08172
DB01062,P11229
DB01063,P14416
DB01063,P10275
DB01064,P08588
DB01064,P07550
DB01064,P13945
DB01064,P00441
DB01065,P48039
DB01065,P49286
DB01065,P03372
DB01065,Q92753
DB01065,P0DP23
DB01065,P05164
DB01065,P11678
DB01065,P27797
DB01065,P46597
DB01065,P16083
DB01067,Q09428
DB01067,P37231
DB01068,P14867
DB01068,P47869
DB01068,P34903
DB01068,P48169
DB01068,P31644
DB01068,Q16445
DB01068,P18505
DB01068,P47870
DB01068,P28472
DB01068,O14764
DB01068,P78334
DB01068,Q8N1C3
DB01068,P18507
DB01068,Q99928
DB01068,O00591
DB01068,Q9UN88
DB01068,P14867
DB01068,P47869
DB01068,P34903
DB01068,P31644
DB01068,Q8N1C3
DB01068,P18507
DB01068,Q99928
DB01068,O75469
DB01069,P35367
DB01069,P14416
