Disease,Disease,Similarity
D001943,D000077273,0.38529
D001943,C565346,0.36831
D001943,D003093,0.24094
D001943,D056725,0.26917
D001943,D009396,0.37829
D001943,C538178,0.27158
D001943,C537055,0.20679
D001943,D056769,0.26511
D001943,D009472,0.24312
D001943,D001260,0.41004
D001943,C538013,0.24911
D001943,C537345,0.25503
D001943,C535933,0.2436
D001943,D008175,0.37448
D001943,C536778,0.22969
D001943,C535858,0.24616
D001943,D003057,0.2792
D001943,D003414,0.22314
D001943,D003550,0.32437
D001943,C535765,0.24993
D001943,D003554,0.25763
D001943,D003922,0.24242
D001943,D005199,0.33848
D001943,D005776,0.2985
D001943,D005776,0.25681
D001943,D006828,0.21285
D001943,D006689,0.2369
D001943,D006712,0.28412
D001943,D007566,0.26062
D001943,D012614,0.20193
D001943,D005058,0.24462
D001943,D007589,0.20727
D001943,C565429,0.27052
D001943,D010505,0.2892
D001943,D009084,0.28714
D001943,D009084,0.26958
D001943,D009084,0.27482
D001943,D009084,0.29134
D001943,D009101,0.25136
D001943,C535761,0.22245
D001943,D009447,0.40927
D001943,D052536,0.21517
D001943,D052556,0.25843
D001943,C536420,0.20001
D001943,D012516,0.42045
D001943,C536063,0.24223
D001943,D010190,0.39093
D001943,D054078,0.26375
D001943,C538556,0.22537
D001943,C537286,0.22378
D001943,C564870,0.21322
D001943,D011546,0.21848
D001943,C562688,0.2856
D001943,D011561,0.24104
D001943,D012035,0.23734
D001943,D015212,0.28355
D001943,D016111,0.29557
D001943,D053713,0.22586
D001943,C563236,0.38625
D001943,D013915,0.28412
D001943,D006111,0.2849
D001943,C536928,0.24173
D001943,D020176,0.21835
D001943,D020176,0.28903
D001943,C562794,0.26056
D001943,C535393,0.20293
D001943,D056729,0.23212
D001943,D014898,0.34528
D001943,D006527,0.32156
D001943,D014983,0.41517
D001943,D000326,0.23471
D001943,D000795,0.32428
D001943,D056889,0.23143
D001943,C580192,0.23755
D001943,D006467,0.35939
D001943,D053098,0.22964
D001943,D008232,0.26628
D001943,D010009,0.2176
D001943,D007706,0.22115
D001943,D005600,0.28324
D001943,D020388,0.30144
D001943,D016649,0.26847
D001943,C564015,0.23866
D001943,D010911,0.2285
D001943,D001249,0.22643
D001943,D006502,0.23875
D001943,D000083242,0.21407
D001943,C537243,0.26003
D001943,D009765,0.29397
D001943,D008180,0.20766
D001943,D056735,0.22586
D001943,C566578,0.20315
D001943,D009223,0.21564
D001943,D011565,0.22132
D001943,C566404,0.22045
D001943,D006111,0.23369
D001943,D000755,0.28606
D001943,D002583,0.26718
D001943,D052496,0.25019
D001943,D002292,0.24732
D001943,C535516,0.23507
D001943,D056693,0.25252
D001943,D000098943,0.21439
D001943,D000098943,0.23727
D001943,D018192,0.33073
D001943,D056735,0.20821
D001943,D052537,0.27207
D001943,D017681,0.25404
D001943,D010051,0.31592
D001943,D001321,0.25944
D001943,D013967,0.23982
D001943,D015464,0.28142
D001943,D010282,0.2537
D001943,D005271,0.21269
D015179,D005764,0.26966
D015179,D001478,0.31079
D015179,D001749,0.41839
D015179,C562419,0.20091
D015179,D017488,0.21881
D015179,D001943,0.35152
D015179,D015179,1
D015179,D006528,0.29519
D015179,D004938,0.41675
D015179,C535944,0.33263
D015179,D013274,0.41102
D015179,D005910,0.28927
D015179,D050031,0.2188
D015179,D002292,0.46625
D015179,D000075222,0.21751
D015179,C562785,0.20481
D015179,D008527,0.36638
D015179,D000096142,0.31336
D015179,D000096142,0.22704
D015179,D000098943,0.32497
D015179,D000086002,0.21716
D015179,D009223,0.2413
D015179,D005922,0.20526
D015179,D010235,0.32438
D015179,D010673,0.31449
D015179,D011125,0.45018
D015179,C562464,0.44543
D015179,D017118,0.28408
D015179,D017119,0.25223
D015179,D011218,0.20657
D015179,D011471,0.29677
D015179,D011565,0.24541
D015179,D054990,0.24657
D015179,D012175,0.3881
D015179,D018288,0.34764
D015179,D011085,0.20433
D015179,C572845,0.29728
D015179,D000077273,0.46525
D015179,C565346,0.30519
D015179,D003093,0.35609
D015179,D009396,0.40333
D015179,D001260,0.2897
D015179,D008175,0.33222
D015179,D003456,0.20041
D015179,D003550,0.35404
D015179,D005199,0.29132
D015179,C565441,0.33889
D015179,C535761,0.27933
D015179,D009404,0.29452
D015179,D044903,0.22417
D015179,D009447,0.35947
D015179,D012516,0.26672
D015179,D010190,0.39236
D015179,C538556,0.24692
D015179,C562688,0.20504
D015179,D015212,0.33983
D015179,C563236,0.29698
D015179,C536928,0.44266
D015179,D020176,0.23553
D015179,C562794,0.2177
D015179,D014898,0.23099
D015179,D006527,0.22961
D015179,D014983,0.28307
D015179,D000795,0.23678
D015179,C580192,0.239
D015179,D008232,0.22591
D015179,D005600,0.23098
D015179,D020388,0.22927
D015179,D016649,0.21139
D015179,D016481,0.34469
D015179,D010911,0.26532
D015179,D044903,0.22228
D015179,D011546,0.2221
D015179,D002583,0.42687
D015179,D002292,0.31262
D015179,C535516,0.33884
D015179,D000098943,0.22905
D015179,D046152,0.39366
D015179,D010190,0.25571
D015179,D005910,0.25007
D015179,D010051,0.21434
D015179,D013967,0.20767
D015179,D015464,0.22375
D015179,C563924,0.48269
D015179,D015179,0.44452
D006528,D010911,0.21998
D006528,D000544,0.24604
D006528,D001478,0.23344
D006528,D008105,0.25117
D006528,D001749,0.34782
D006528,D017488,0.21297
D006528,D001943,0.30156
D006528,D015179,0.29519
D006528,D006528,1
D006528,C567296,0.20946
D006528,D002349,0.2119
D006528,D046349,0.23216
D006528,D007644,0.22838
D006528,D003924,0.21224
D006528,D004387,0.21933
D006528,C536698,0.20178
D006528,D004938,0.22489
D006528,C535944,0.2256
D006528,D013274,0.27729
D006528,D005910,0.20931
D006528,D050031,0.22723
D006528,D005878,0.29891
D006528,D006938,0.20986
D006528,D002292,0.33646
D006528,D000075222,0.24476
D006528,C535694,0.25552
D006528,D006953,0.22862
D006528,C535932,0.22144
D006528,D018459,0.20843
D006528,D052496,0.20724
D006528,D008180,0.20478
D006528,C537152,0.20711
D006528,D008527,0.23477
D006528,D000096142,0.22862
D006528,D000098943,0.31694
D006528,D010235,0.26837
D006528,D010673,0.26993
D006528,D007690,0.23342
D006528,C536330,0.30839
D006528,D005359,0.22009
D006528,D011125,0.25301
D006528,D017118,0.35346
D006528,D017119,0.44807
D006528,D011471,0.3455
D006528,D011546,0.20321
D006528,D012175,0.27377
D006528,D012559,0.21868
D006528,D019851,0.30778
D006528,C572845,0.25515
D006528,D000077273,0.26837
D006528,D011225,0.21799
D006528,C565346,0.27381
D006528,D056725,0.20153
D006528,D009396,0.32328
D006528,D000326,0.29217
D006528,D056769,0.2216
D006528,C535382,0.20753
D006528,D001260,0.27516
D006528,C535933,0.35506
D006528,D008175,0.24851
D006528,C536778,0.22304
D006528,D003414,0.20819
D006528,D003550,0.30118
D006528,D003555,0.22948
D006528,C535767,0.32294
D006528,D003922,0.219
D006528,D005199,0.23119
D006528,D005198,0.24683
D006528,D005776,0.23389
D006528,D006712,0.23879
D006528,D020165,0.24932
D006528,D007566,0.35537
D006528,C565441,0.24053
D006528,C537153,0.21115
D006528,D009084,0.20204
D006528,D009084,0.21629
D006528,C535761,0.37097
D006528,D009404,0.24573
D006528,D044903,0.24493
D006528,D009447,0.27807
D006528,D052556,0.2128
D006528,D010190,0.2478
D006528,C538556,0.22185
D006528,C537286,0.2309
D006528,D012035,0.20597
D006528,D015212,0.24115
D006528,C563236,0.2229
D006528,D020176,0.33136
D006528,D020176,0.38645
D006528,D020176,0.38851
D006528,C562794,0.25294
D006528,C535393,0.22678
D006528,D006527,0.32381
D006528,D014983,0.23602
D006528,D000326,0.20535
D006528,D020388,0.24579
D006528,D001321,0.2511
D006528,D001321,0.23652
D006528,D001321,0.24912
D006528,D000795,0.22447
D006528,D006467,0.24899
D006528,D053098,0.21237
D006528,D008232,0.23071
D006528,D007706,0.22914
D006528,D016649,0.24117
D006528,D016481,0.32326
D006528,D001249,0.22611
D006528,D006502,0.30887
D006528,D000083242,0.21594
D006528,D044903,0.20003
D006528,D056735,0.26242
D006528,D011546,0.20036
D006528,D002583,0.2978
D006528,D052456,0.20861
D006528,D052496,0.25241
D006528,D002292,0.28973
D006528,C535516,0.28317
D006528,D020158,0.22499
D006528,D000077274,0.20464
D006528,D001321,0.22775
D006528,D052537,0.21409
D006528,D001321,0.22956
D006528,D015464,0.23637
D006528,D010282,0.20376
D006528,D001321,0.23662
C567779,D031845,0.23452
C567779,C538052,0.26189
C567779,C537057,0.36264
C567779,D000544,0.22517
C567779,D054179,0.21915
C567779,C531622,0.24425
C567779,D001327,0.21492
C567779,D000505,0.23957
C567779,D001528,0.2618
C567779,C537095,0.2757
C567779,D001943,0.2184
C567779,C567779,1
C567779,C567296,0.23327
C567779,C536691,0.23844
C567779,D046349,0.20066
C567779,D007644,0.28639
C567779,D046589,0.20404
C567779,C565100,0.20952
C567779,D050031,0.25649
C567779,D006938,0.23379
C567779,D006938,0.23743
C567779,D006945,0.20048
C567779,D011546,0.21278
C567779,D000075222,0.21483
C567779,C537156,0.30329
C567779,C537907,0.20628
C567779,D019578,0.21182
C567779,D007154,0.22011
C567779,D052496,0.23301
C567779,D008180,0.23467
C567779,D008382,0.23084
C567779,D008945,0.20019
C567779,D015493,0.20701
C567779,D009223,0.25496
C567779,D007589,0.22109
C567779,D016506,0.26472
C567779,D010520,0.26915
C567779,C536330,0.2463
C567779,D011125,0.20814
C567779,D017118,0.21076
C567779,D017119,0.23308
C567779,D011371,0.28793
C567779,D011561,0.2494
C567779,D011565,0.22568
C567779,D012507,0.2141
C567779,D012559,0.20895
C567779,D013341,0.20145
C567779,D013700,0.33507
C567779,D019851,0.20201
C567779,C565346,0.25782
C567779,D003093,0.25788
C567779,C538178,0.30951
C567779,D000326,0.21598
C567779,C537055,0.27713
C567779,D056769,0.20977
C567779,D009472,0.20291
C567779,C565935,0.20026
C567779,D001260,0.21963
C567779,C538013,0.24112
C567779,C537345,0.22093
C567779,C535933,0.21005
C567779,D002178,0.51645
C567779,D003057,0.22584
C567779,D003414,0.25521
C567779,D003550,0.23333
C567779,D003554,0.21422
C567779,D003922,0.23607
C567779,D005776,0.24669
C567779,D001606,0.21679
C567779,D005317,0.21102
C567779,D006712,0.27882
C567779,D007589,0.25981
C567779,D010214,0.2986
C567779,D007918,0.22496
C567779,D010505,0.22328
C567779,D009084,0.25229
C567779,D009084,0.25588
C567779,D009084,0.2806
C567779,D009084,0.26205
C567779,D009230,0.20149
C567779,D009447,0.20255
C567779,D052536,0.20882
C567779,C537752,0.31413
C567779,C564906,0.21837
C567779,D054078,0.25697
C567779,C538556,0.26293
C567779,D011546,0.23678
C567779,C562688,0.25213
C567779,D011561,0.22062
C567779,D015212,0.23364
C567779,C535865,0.23289
C567779,D012859,0.2518
C567779,D016111,0.27617
C567779,D013915,0.28324
C567779,D006111,0.25415
C567779,C562794,0.2684
C567779,D014898,0.23589
C567779,C536746,0.31414
C567779,D014983,0.2022
C567779,D000326,0.20974
C567779,D000795,0.22022
C567779,C580192,0.26845
C567779,D006467,0.26486
C567779,C536085,0.352
C567779,D007706,0.26279
C567779,D006502,0.24088
C567779,C563352,0.2339
C567779,D000083242,0.29359
C567779,D008180,0.21086
C567779,D056735,0.20976
C567779,C566578,0.22246
C567779,D009223,0.24376
C567779,D011565,0.29513
C567779,D006111,0.20075
C567779,D000755,0.2226
C567779,D007039,0.3638
C567779,D056693,0.25419
C567779,D020521,0.25818
C567779,D056735,0.28507
C567779,C563817,0.21147
C567779,D017681,0.30423
C567779,C538261,0.23294
C567779,C563897,0.24633
D001145,D001145,1
D001145,D014927,0.23275
D001145,D004437,0.29562
D001145,D053840,0.26126
D001145,C563817,0.21852
D001145,D009203,0.22947
D001145,C538261,0.24011
C566171,C566171,1
C566171,D002311,0.28486
C566171,D020386,0.20133
C566171,D008945,0.20967
C566171,D049310,0.2613
C566171,D014648,0.22573
C566171,D009396,0.21768
C566171,D014927,0.40817
C566171,C536353,0.33137
C566171,D002311,0.22409
C566171,D002311,0.22742
C566171,C565881,0.78922
C566171,C538280,0.39568
C566171,D001927,0.28063
C566171,D004695,0.2332
C566171,C535758,0.23668
C566171,D009084,0.21874
C566171,D009084,0.20381
C566171,D009084,0.22939
C566171,D009084,0.22341
C566171,D009224,0.3892
C566171,D020176,0.22651
C566171,D020388,0.21833
C566171,D056889,0.21283
C566171,D056889,0.28225
C566171,C535698,0.25485
C566171,C563817,0.21574
D002311,D010911,0.20478
D002311,D000437,0.20783
D002311,D000544,0.25327
D002311,D029503,0.22263
D002311,C531622,0.27163
D002311,D020181,0.20158
D002311,D050197,0.24813
D002311,C566188,0.21452
D002311,D001943,0.20692
D002311,C566171,0.28486
D002311,D002311,1
D002311,D002607,0.24079
D002311,D002607,0.22318
D002311,D046349,0.25191
D002311,D007644,0.24467
D002311,D020191,0.24338
D002311,C565100,0.22537
D002311,D009103,0.22388
D002311,D003966,0.22979
D002311,D004916,0.22386
D002311,D050031,0.33512
D002311,D006816,0.25084
D002311,D006938,0.32252
D002311,D006938,0.25984
D002311,D006950,0.23826
D002311,D000075222,0.2639
D002311,C535694,0.27371
D002311,D006953,0.25154
D002311,C537156,0.2066
D002311,D019578,0.27433
D002311,D018979,0.27596
D002311,D052496,0.26708
D002311,D008180,0.2947
D002311,C562479,0.20218
D002311,C537152,0.26504
D002311,C535695,0.20042
D002311,C535696,0.21078
D002311,D008382,0.20253
D002311,D008945,0.254
D002311,D015493,0.22914
D002311,D009223,0.36292
D002311,D020754,0.21802
D002311,D020754,0.20148
D002311,D020967,0.25577
D002311,D007690,0.2781
D002311,C536330,0.2301
D002311,D011125,0.22001
D002311,D017118,0.22435
D002311,D011371,0.3148
D002311,D000141,0.2525
D002311,D012175,0.22011
D002311,D001172,0.27194
D002311,D002607,0.23978
D002311,D012507,0.21341
D002311,D012559,0.24672
D002311,D058496,0.23657
D002311,D020754,0.2341
D002311,D016750,0.30634
D002311,D013700,0.25646
D002311,D013922,0.22225
D002311,C536545,0.2035
D002311,D004314,0.23029
D002311,C565346,0.21722
D002311,D056725,0.32826
D002311,D009396,0.20773
D002311,D014927,0.37621
D002311,C536353,0.38227
D002311,D000326,0.23649
D002311,D002549,0.20237
D002311,D056769,0.25557
D002311,D009472,0.27351
D002311,C562385,0.20945
D002311,C565933,0.23381
D002311,C565932,0.2143
D002311,D001260,0.23133
D002311,C538013,0.31288
D002311,D001321,0.22163
D002311,C537345,0.32645
D002311,C535933,0.2042
D002311,D002311,0.28686
D002311,D002311,0.28557
D002311,C565881,0.33203
D002311,C536778,0.39077
D002311,C538280,0.35463
D002311,C565850,0.20646
D002311,D003057,0.24866
D002311,D003414,0.2054
D002311,D003550,0.24804
D002311,D003554,0.21643
D002311,C535767,0.20423
D002311,D003922,0.23007
D002311,D004437,0.22494
D002311,D004695,0.22281
D002311,D005199,0.23582
D002311,C565557,0.26351
D002311,D005776,0.26125
D002311,C536835,0.212
D002311,C535758,0.29106
D002311,D006712,0.23557
D002311,C565498,0.26375
D002311,C537153,0.21769
D002311,D013132,0.27505
D002311,D010505,0.28081
D002311,D017240,0.31471
D002311,D009084,0.30081
D002311,D009084,0.26454
D002311,D009084,0.28703
D002311,D009084,0.29877
D002311,C537480,0.30687
D002311,D009157,0.20666
D002311,D009101,0.23735
D002311,D020194,0.25572
D002311,D009224,0.21253
D002311,D052556,0.246
D002311,D054078,0.23959
D002311,C538556,0.21092
D002311,C537286,0.20581
D002311,D011561,0.21981
D002311,C564862,0.26377
D002311,C564859,0.22441
D002311,D012035,0.24906
D002311,D015212,0.24346
D002311,D006111,0.28154
D002311,D020176,0.2093
D002311,D020176,0.26783
D002311,C535393,0.26884
D002311,D014898,0.22925
D002311,D006527,0.27329
D002311,D014983,0.20199
D002311,D000326,0.30931
D002311,D020388,0.39059
D002311,D001321,0.20235
D002311,D001321,0.20287
D002311,D000795,0.33871
D002311,D056889,0.36455
D002311,C580192,0.20527
D002311,D056889,0.25849
D002311,D006467,0.33545
D002311,D053098,0.27011
D002311,D007706,0.24916
D002311,D020388,0.36294
D002311,D017241,0.25495
D002311,D053840,0.31904
D002311,C563352,0.23723
D002311,D000083242,0.27776
D002311,D008180,0.21244
D002311,C566578,0.2061
D002311,D009223,0.26388
D002311,D000755,0.25796
D002311,D052456,0.22335
D002311,C565798,0.2158
D002311,D006950,0.26744
D002311,C535581,0.3131
D002311,D020158,0.20044
D002311,D056693,0.31306
D002311,D018192,0.25082
D002311,C536596,0.20756
D002311,C563817,0.25892
D002311,D052537,0.27466
D002311,D017681,0.25293
D002311,D003327,0.24585
D002311,D003327,0.29747
D002311,C564258,0.27438
D002311,D009203,0.24927
D002311,D009203,0.22196
D002311,C538261,0.26232
D002311,C563897,0.24
D002311,D001321,0.20303
D002311,D005271,0.22208
D002311,D003327,0.26212
C567296,C535654,0.20381
C567296,D010911,0.2076
C567296,D000224,0.30399
C567296,D000544,0.20026
C567296,D054179,0.25795
C567296,C566271,0.21616
C567296,D020181,0.24255
C567296,D001528,0.27734
C567296,D006528,0.20946
C567296,C567779,0.23327
C567296,C567296,1
C567296,C536691,0.20011
C567296,D046349,0.21768
C567296,D007644,0.21803
C567296,C562379,0.23733
C567296,D020790,0.20569
C567296,C565101,0.3302
C567296,D003924,0.2352
C567296,D006970,0.27349
C567296,D050031,0.2112
C567296,D005878,0.25876
C567296,C562999,0.3091
C567296,D006938,0.27195
C567296,D006938,0.26952
C567296,D006945,0.22708
C567296,D006938,0.42028
C567296,C562400,0.28309
C567296,D011546,0.27985
C567296,D012021,0.27438
C567296,C564156,0.26757
C567296,D006953,0.27115
C567296,C537156,0.22265
C567296,D019578,0.23035
C567296,C535932,0.40934
C567296,D012514,0.26928
C567296,D018459,0.38837
C567296,D052496,0.27324
C567296,C537152,0.28089
C567296,D000096142,0.22247
C567296,D010024,0.20572
C567296,C563476,0.21313
C567296,D020967,0.29442
C567296,D010673,0.20012
C567296,C536330,0.23835
C567296,D017119,0.29413
C567296,D011546,0.25472
C567296,D012507,0.27028
C567296,D012559,0.21483
C567296,D011085,0.24153
C567296,D013341,0.20562
C567296,C572845,0.25564
C567296,D011225,0.23323
C567296,C538178,0.3217
C567296,C536353,0.2961
C567296,D000326,0.26853
C567296,C537055,0.2029
C567296,D056769,0.23103
C567296,D009472,0.25032
C567296,C567144,0.552
C567296,C562385,0.29652
C567296,C538013,0.21783
C567296,D001321,0.20599
C567296,C537345,0.23185
C567296,C535933,0.26679
C567296,D008175,0.21376
C567296,D002178,0.24056
C567296,C536778,0.27369
C567296,C565850,0.20297
C567296,D003057,0.20188
C567296,D003414,0.30703
C567296,D003554,0.22356
C567296,C535767,0.41814
C567296,D005198,0.23995
C567296,C565557,0.2402
C567296,D005776,0.23077
C567296,D001606,0.22038
C567296,C535758,0.23704
C567296,D006712,0.20256
C567296,D007566,0.31975
C567296,D012614,0.21037
C567296,C565478,0.3536
C567296,C535933,0.38408
C567296,D007589,0.2626
C567296,D010214,0.21761
C567296,C567102,0.29195
C567296,D009084,0.22316
C567296,D009084,0.21701
C567296,D009084,0.23433
C567296,D009084,0.25437
C567296,C535761,0.20375
C567296,D052556,0.2169
C567296,C537752,0.20458
C567296,C564906,0.20422
C567296,D054078,0.22044
C567296,C538556,0.23037
C567296,C537286,0.29136
C567296,D053579,0.20721
C567296,D011546,0.24672
C567296,D012035,0.3106
C567296,D016111,0.21648
C567296,D013915,0.24544
C567296,D006111,0.26419
C567296,D020176,0.38667
C567296,C567296,0.40313
C567296,C562794,0.21168
C567296,C535393,0.31738
C567296,D056729,0.26434
C567296,D006527,0.21375
C567296,D000326,0.20489
C567296,D001321,0.31152
C567296,D001321,0.31201
C567296,D001321,0.32864
C567296,D056889,0.21644
C567296,D007706,0.21382
C567296,D016649,0.2169
C567296,C564005,0.31337
C567296,D016481,0.24035
C567296,C563949,0.20742
C567296,C563933,0.2599
C567296,D002764,0.31407
C567296,D001249,0.23481
C567296,C566603,0.23859
C567296,C566530,0.2015
C567296,D009223,0.24363
C567296,D011565,0.22336
C567296,C566404,0.2618
C567296,D011546,0.21746
C567296,D000075222,0.30341
C567296,D052456,0.3168
C567296,C565798,0.20723
C567296,D000075222,0.35601
C567296,D052496,0.28352
C567296,C565325,0.22023
C567296,D056693,0.22418
C567296,D065631,0.26115
C567296,D000075222,0.295
C567296,D001321,0.28255
C567296,D052537,0.23583
C567296,D017681,0.28018
C567296,D001321,0.26173
C567296,D003327,0.34035
C567296,D003327,0.28796
C567296,D003865,0.2004
C567296,C563897,0.21715
C567296,D001321,0.27701
D002349,D006528,0.2119
D002349,D002349,1
D002349,D002607,0.28855
D002349,D002607,0.27828
D002349,D046589,0.20191
D002349,D004387,0.21142
D002349,C536698,0.20338
D002349,D003966,0.26199
D002349,D004916,0.43089
D002349,D005198,0.22753
D002349,D005879,0.23905
D002349,D000075222,0.24819
D002349,C535694,0.20094
D002349,D015417,0.30685
D002349,D000699,0.35667
D002349,C535695,0.22329
D002349,C535696,0.23539
D002349,D049310,0.20133
D002349,D009220,0.21979
D002349,D009223,0.22189
D002349,D020967,0.2473
D002349,D017118,0.25232
D002349,D011371,0.21994
D002349,D000141,0.30165
D002349,D001172,0.22102
D002349,D002607,0.23765
D002349,D012559,0.24141
D002349,D058496,0.2188
D002349,D020754,0.20422
D002349,D016750,0.21144
D002349,D013700,0.28376
D002349,D019851,0.30014
D002349,D056725,0.20264
D002349,D000326,0.231
D002349,D009472,0.21775
D002349,C535387,0.2306
D002349,C538013,0.21737
D002349,D001321,0.22316
D002349,C536778,0.22189
D002349,C538280,0.2
D002349,D003057,0.25543
D002349,D003414,0.25417
D002349,D003550,0.22673
D002349,C535767,0.25279
D002349,D005198,0.24181
D002349,C565557,0.32221
D002349,D005776,0.21092
D002349,D005776,0.2148
D002349,C536835,0.20636
D002349,D006849,0.31167
D002349,D020165,0.24774
D002349,D000075262,0.20303
D002349,D010505,0.20005
D002349,D017240,0.21941
D002349,C536988,0.25194
D002349,D009084,0.23524
D002349,D009084,0.2175
D002349,D009084,0.24139
D002349,D009084,0.22269
D002349,D009101,0.30416
D002349,D009224,0.20993
D002349,D009230,0.21604
D002349,D052536,0.2176
D002349,D052556,0.20772
D002349,D054078,0.20743
D002349,C538556,0.29306
D002349,C537286,0.20555
D002349,D053579,0.21662
D002349,C562688,0.29096
D002349,D012035,0.2118
D002349,D012174,0.23522
D002349,D016111,0.21505
D002349,D020176,0.23629
D002349,D020176,0.31708
D002349,D020176,0.23343
D002349,C562794,0.24218
D002349,C535393,0.28686
D002349,D020915,0.328
D002349,D006527,0.22323
D002349,D000326,0.21889
D002349,D020388,0.29522
D002349,D001321,0.2163
D002349,D001321,0.21664
D002349,D001321,0.22819
D002349,D006467,0.27378
D002349,D053098,0.23955
D002349,D007706,0.24938
D002349,D020388,0.2228
D002349,D016649,0.25605
D002349,D010009,0.22053
D002349,D017241,0.22262
D002349,C564005,0.26017
D002349,D057180,0.21101
D002349,D000083242,0.22106
D002349,C566578,0.21725
D002349,D006950,0.21399
D002349,D052456,0.22656
D002349,D020158,0.23272
D002349,D056693,0.20181
D002349,D052537,0.2624
D002349,C564306,0.22841
D002349,D001925,0.20668
D002349,D001321,0.21503
C536691,C535654,0.20112
C536691,D031845,0.31343
C536691,C538052,0.22984
C536691,C537057,0.30877
C536691,D054179,0.28569
C536691,C566271,0.27923
C536691,D002538,0.28693
C536691,D001478,0.25112
C536691,D001528,0.26905
C536691,C562419,0.34311
C536691,C567779,0.23844
C536691,C567296,0.20011
C536691,C536691,1
C536691,C562509,0.24547
C536691,C562379,0.21479
C536691,D005351,0.23994
C536691,D006970,0.26642
C536691,C564234,0.20089
C536691,D006392,0.41302
C536691,C562999,0.23554
C536691,D006938,0.22984
C536691,C562400,0.22362
C536691,C564156,0.21085
C536691,C537156,0.21022
C536691,D008258,0.20425
C536691,D008269,0.24071
C536691,D008382,0.30613
C536691,D000096142,0.23893
C536691,D000098943,0.21074
C536691,C563591,0.20257
C536691,D008945,0.23928
C536691,D009223,0.25377
C536691,C563498,0.27945
C536691,D000752,0.22169
C536691,D010673,0.26815
C536691,D017119,0.21962
C536691,D011218,0.25717
C536691,D011561,0.32798
C536691,D012175,0.26077
C536691,D012507,0.26375
C536691,D013341,0.28482
C536691,D013771,0.22244
C536691,D004314,0.27539
C536691,C565346,0.22893
C536691,C538178,0.23355
C536691,D000326,0.30346
C536691,C537055,0.22032
C536691,D056769,0.22361
C536691,D001260,0.21996
C536691,D002178,0.23936
C536691,C538280,0.20016
C536691,C535858,0.2848
C536691,D003057,0.26045
C536691,D003103,0.26065
C536691,C535765,0.26979
C536691,D001927,0.21157
C536691,D005776,0.23844
C536691,D005776,0.21069
C536691,D001606,0.27598
C536691,D006712,0.24997
C536691,D007566,0.23228
C536691,C538603,0.23008
C536691,D007589,0.20897
C536691,D010214,0.24725
C536691,D054221,0.35059
C536691,D009084,0.21217
C536691,D009084,0.22371
C536691,D009084,0.24428
C536691,D009182,0.23843
C536691,D010009,0.33951
C536691,D009447,0.20282
C536691,D052536,0.22081
C536691,C537752,0.25785
C536691,C536420,0.2734
C536691,C536063,0.20474
C536691,D011546,0.22308
C536691,D011561,0.27596
C536691,D012035,0.21588
C536691,C535865,0.38453
C536691,D016111,0.22787
C536691,D013915,0.32979
C536691,C536928,0.20089
C536691,C567296,0.23657
C536691,D056729,0.21702
C536691,D014898,0.32413
C536691,D006527,0.21281
C536691,D007039,0.20914
C536691,C536746,0.35202
C536691,D014983,0.20591
C536691,C564714,0.30423
C536691,D020817,0.22566
C536691,D000795,0.21845
C536691,C580192,0.2319
C536691,C536085,0.26639
C536691,D010009,0.28837
C536691,D007706,0.22473
C536691,C536692,0.21709
C536691,D005902,0.20466
C536691,D009223,0.28045
C536691,C566404,0.29484
C536691,D007039,0.33682
C536691,C535500,0.27308
C536691,D000098943,0.22283
C536691,D009216,0.37544
C536691,D020817,0.23752
D019305,C537057,0.32896
D019305,D019305,1
D019305,D020936,0.48059
D019305,D020936,0.58522
D019305,C565115,0.20348
D019305,D020191,0.25399
D019305,C536698,0.21901
D019305,D004828,0.63225
D019305,D010787,0.46737
D019305,D020195,0.39437
D019305,C537907,0.227
D019305,D009771,0.27438
D019305,D016750,0.20334
D019305,D013341,0.23459
D019305,D038261,0.21936
D019305,D002549,0.21515
D019305,D009472,0.20516
D019305,D009472,0.25953
D019305,C565933,0.33538
D019305,D001321,0.22939
D019305,C565905,0.27534
D019305,D002817,0.22639
D019305,C565678,0.32453
D019305,D003414,0.21652
D019305,C535767,0.30955
D019305,D004695,0.28978
D019305,D005776,0.28139
D019305,D020165,0.2236
D019305,C565494,0.26816
D019305,D000075262,0.22688
D019305,D020190,0.66591
D019305,D020194,0.28545
D019305,D053579,0.2156
D019305,C564847,0.42574
D019305,D020326,0.23984
D019305,C564714,0.21044
D019305,D001321,0.32733
D019305,C564505,0.6501
D019305,D001321,0.32784
D019305,D001321,0.34531
D019305,C562782,0.27664
D019305,C536085,0.20402
D019305,C567924,0.38066
D019305,D017241,0.22595
D019305,D004832,0.65855
D019305,C566578,0.21068
D019305,D020190,0.71702
D019305,D004831,0.67916
D019305,C565728,0.3522
D019305,D008180,0.45065
D019305,D020158,0.21995
D019305,D001321,0.25458
D019305,C565238,0.22603
D019305,C535500,0.23436
D019305,C564676,0.26282
D019305,D004831,0.56602
D019305,D001321,0.29689
D019305,D020325,0.26284
D019305,D020326,0.2183
D019305,D020325,0.27604
D019305,D020326,0.2588
D019305,C562694,0.61887
D019305,D004832,0.66666
D019305,C565811,0.61044
D019305,C562694,0.6124
D019305,C564330,0.20866
D019305,D001925,0.25394
D019305,D001321,0.26529
D019305,C535499,0.5301
D019305,C564274,0.45303
D019305,D001321,0.29875
D019305,D020190,0.6811
