Drug,Protein
DB01016,Q14654
DB01016,O60706
DB01016,O95342
DB01016,O95477
DB01016,Q14654
DB01016,Q15842
DB01016,P50416
DB01016,P13569
DB01016,Q8TD43
DB01023,Q13936
DB01023,P54289
DB01023,Q08289
DB01023,Q01668
DB01023,Q13698
DB01023,O95180
DB01023,Q9NY47
DB01023,P0DP23
DB01023,Q01064
DB01023,P54750
DB01023,P08235
DB01023,P02585
DB01023,P63316
DB01026,P50859
DB01026,P05093
DB01026,P10275
DB01026,P08686
DB01026,Q12809
DB01026,O75469
DB01026,Q14994
DB01032,Q4U2R8
DB01032,Q9NSA0
DB01032,Q8TCC7
DB01032,Q96RD7
DB01032,Q9NYV7
DB01035,Q12809
DB01035,Q14524
DB01035,P26358
DB01037,P27338
DB01037,P21397
DB01043,Q05586
DB01043,Q12879
DB01043,Q13224
DB01043,Q14957
DB01043,O15399
DB01043,Q8TCU5
DB01043,O60391
DB01043,P46098
DB01043,P36544
DB01043,P14416
DB01043,Q05586
DB01043,P14867
DB01043,P47869
DB01043,P34903
DB01043,P48169
DB01043,P31644
DB01043,Q16445
DB01043,P18505
DB01043,P47870
DB01043,P28472
DB01043,O14764
DB01043,P78334
DB01043,Q8N1C3
DB01043,P18507
DB01043,Q99928
DB01043,O00591
DB01043,Q9UN88
DB01043,P23415
DB01043,P23416
DB01043,O75311
DB01043,Q5JXX5
DB01043,P48167
DB01045,P0A8V2
DB01045,O75469
DB01050,P35354
DB01050,P23219
DB01050,P10415
DB01050,P07204
DB01050,P12104
DB01050,P37231
DB01050,P13569
DB01050,Q07869
DB01050,P07359
DB01050,P31151
DB01054,Q13936
DB01054,P54289
DB01054,Q08289
DB01054,Q01668
DB01054,Q13698
DB01054,Q9NY47
DB01054,O95180
DB01054,Q13936
DB01054,Q01668
DB01054,O60840
DB01054,Q13698
DB01054,Q02641
DB01054,Q08289
DB01054,P54284
DB01054,O00305
DB01054,O00555
DB01054,Q12791
DB01054,Q16558
DB01054,Q9Y691
DB01054,Q9NPA1
DB01054,Q86W47
DB01054,O15554
DB01054,Q92952
DB01054,Q9H2S1
DB01054,Q9UGI6
DB01059,P43700
DB01059,P43702
DB01059,P11388
DB01059,P20831
DB01059,P11388
DB01059,Q02880
DB01059,P0C1U9
DB01065,P48039
DB01065,P49286
DB01065,P03372
DB01065,Q92753
DB01065,P0DP23
DB01065,P05164
DB01065,P11678
DB01065,P27797
DB01065,P46597
DB01065,P16083
DB01069,P35367
DB01069,P14416
DB01069,P11229
DB01069,P08172
DB01069,P20309
DB01069,P08173
DB01069,P08912
DB01069,P35348
DB01069,P35368
DB01069,P25100
DB01069,P08913
DB01069,P18089
DB01069,P18825
DB01069,P0DP23
DB01069,P25021
DB01069,Q99677
DB01069,P43657
DB01069,P51575
DB01069,Q9UBL9
DB01069,P56373
DB01069,Q99571
DB01069,Q93086
DB01069,O15547
DB01069,Q99572
DB01069,P47900
DB01069,Q96G91
DB01069,Q9H244
DB01069,Q9BPV8
DB01069,Q15391
DB01069,P41231
DB01069,P51582
DB01069,Q86VZ1
DB01069,O00398
DB01069,P35498
DB01069,Q9Y5Y9
DB01069,Q9UI33
DB01069,Q99250
DB01069,Q9NY46
DB01069,P35499
DB01069,Q14524
DB01069,Q01118
DB01069,Q9UQD0
DB01069,Q15858
DB01069,Q09470
DB01069,Q16322
DB01069,P16389
DB01069,P22001
DB01069,P22459
DB01069,P22460
DB01069,P17658
DB01069,Q14721
DB01069,Q92953
DB01069,P48547
DB01069,Q96PR1
DB01069,Q14003
DB01069,Q03721
DB01069,Q9NSA2
DB01069,Q9NZV8
DB01069,Q9UK17
DB01069,P15382
DB01069,Q9Y6J6
DB01069,Q9Y6H6
DB01069,Q8WWG9
DB01069,Q9UJ90
DB01069,Q9H3M0
DB01069,Q9UIX4
DB01069,Q9UJ96
DB01069,Q8TAE7
DB01069,Q8TDN1
DB01069,O95259
DB01069,Q12809
DB01069,Q9ULD8
DB01069,Q9UQ05
DB01069,Q8NCM2
DB01069,Q9H252
DB01069,Q9NS40
DB01069,Q96L42
DB01069,P51787
DB01069,O43526
DB01069,O43525
DB01069,P56696
DB01069,Q9NR82
DB01069,Q96KK3
DB01069,Q9BQ31
DB01069,Q6PIU1
DB01069,Q8TDN2
DB01069,Q14722
DB01069,Q13303
DB01075,P35367
DB01075,P08172
DB01076,P04035
DB01076,P27487
DB01076,P35869
DB01076,Q92769
DB01076,Q14994
DB01092,P05023
DB01092,P50993
DB01092,P13637
DB01095,P04035
DB01095,Q92769
DB01097,Q02127
DB01097,P35869
DB01097,Q14289
DB01098,P04035
DB01098,P20701
DB01100,P14416
DB01100,P35462
DB01100,Q12809
DB01100,P0DP23
DB01103,O60733
DB01103,P47712
DB01103,Q15111
DB01104,P31645
DB01104,Q01959
DB01104,O00264
DB01104,Q99720
DB01104,P23975
DB01104,Q7RTT9
DB01110,P10613
DB01110,P29474
DB01110,P35228
DB01110,O75469
DB01110,Q12791
DB01110,Q16558
DB01110,Q9Y691
DB01110,Q9NPA1
DB01110,Q86W47
DB01110,O15554
DB01110,Q92952
DB01110,Q9H2S1
DB01110,Q9UGI6
DB01110,Q09470
DB01110,Q16322
DB01110,P16389
DB01110,P22001
DB01110,P22459
DB01110,P22460
DB01110,P17658
DB01110,Q14721
DB01110,Q92953
DB01110,P48547
DB01110,Q96PR1
DB01110,Q14003
DB01110,Q03721
DB01110,Q9NSA2
DB01110,Q9NZV8
DB01110,Q9UK17
DB01110,P15382
DB01110,Q9Y6J6
DB01110,Q9Y6H6
DB01110,Q8WWG9
DB01110,Q9UJ90
DB01110,Q9H3M0
DB01110,Q9UIX4
DB01110,Q9UJ96
DB01110,Q8TAE7
DB01110,Q8TDN1
DB01110,O95259
DB01110,Q12809
DB01110,Q9ULD8
DB01110,Q9UQ05
DB01110,Q8NCM2
DB01110,Q9H252
DB01110,Q9NS40
DB01110,Q96L42
DB01110,P51787
DB01110,O43526
DB01110,O43525
DB01110,P56696
DB01110,Q9NR82
DB01110,Q96KK3
DB01110,Q9BQ31
DB01110,Q6PIU1
DB01110,Q8TDN2
DB01110,Q14722
DB01110,Q13303
DB01110,Q14500
DB01110,Q9UNX9
DB01110,P63252
DB01110,P48050
DB01110,Q13936
DB01110,Q01668
DB01110,O60840
DB01110,Q13698
DB01110,Q02641
DB01110,Q08289
DB01110,P54284
DB01110,O00305
DB01114,P35367
DB01114,P31645
DB01114,P23975
DB01114,Q01959
DB01115,Q13936
DB01115,Q01668
DB01115,Q08289
DB01115,O75469
DB01115,P0DP23
DB01115,Q13698
DB01115,Q9UK17
DB01115,O43497
DB01115,O95180
DB01115,Q9P0X4
DB01118,Q12809
DB01118,Q9H252
DB01118,Q9NS40
DB01118,P08588
DB01118,P07550
DB01118,P13945
DB01118,Q9P0X4
DB01118,Q13936
DB01118,Q01668
DB01118,O60840
DB01118,Q13698
DB01118,Q02641
DB01118,Q08289
DB01118,P54284
DB01118,O00305
DB01118,P10827
DB01118,P10828
DB01118,P37231
DB01118,Q07869
DB01118,Q86YN6
DB01124,Q09428
DB01124,P48048
DB01132,P37231
DB01132,P27338
DB01136,P08588
DB01136,P35348
DB01136,P35348
DB01136,P35368
DB01136,P25100
DB01136,O95298
DB01136,P07550
DB01136,P15692
DB01136,P16860
DB01136,P17302
DB01136,Q12809
DB01136,P19320
DB01136,P25100
DB01136,P35368
DB01136,P18825
DB01136,P18089
DB01136,P08913
DB01136,P16581
DB01136,Q16665
DB01136,P48050
DB01136,P63252
DB01138,Q96S37
DB01138,P33527
DB01138,Q92887
DB01138,O75469
DB01142,P35367
DB01142,P25021
DB01142,P23975
DB01142,P31645
DB01142,P28223
DB01142,P41595
DB01142,P28335
DB01142,P11229
DB01142,P08172
DB01142,P20309
DB01142,P08173
DB01142,P08912
DB01142,P35348
DB01142,P35368
DB01142,P25100
DB01142,P08908
DB01142,P50406
DB01142,Q9H3N8
DB01142,Q12809
DB01149,P28223
DB01149,P28335
DB01149,P31645
DB01149,P08908
DB01149,P23975
DB01149,Q01959
DB01149,P35368
DB01149,P08913
DB01149,P35348
DB01149,Q12809
DB01151,P23975
DB01151,P31645
DB01151,P28223
DB01151,P07550
DB01151,P08588
DB01151,P17405
DB01151,P35367
DB01151,P35348
DB01151,P35368
DB01151,P25100
DB01151,P11229
DB01151,P08172
DB01151,P20309
DB01151,P08173
DB01151,P08912
DB01151,P08908
DB01151,P28335
DB01151,P14416
DB01151,P08913
DB01151,P18089
DB01151,P18825
DB01165,P43700
DB01165,P43702
DB01165,P11388
DB01167,P14263
DB01174,P14867
DB01174,P43681
DB01174,P36544
DB01174,P42262
DB01174,Q13002
DB01174,Q05586
DB01174,Q12879
DB01174,Q13224
DB01174,Q14957
DB01174,O15399
DB01174,Q8TCU5
DB01174,O60391
DB01174,O75469
DB01175,P31645
DB01175,P11229
DB01175,P35367
DB01175,P08908
DB01175,P28223
DB01175,P35348
DB01175,P35368
DB01175,P25100
DB01175,P28335
DB01175,P08913
DB01175,P18089
DB01175,P18825
DB01175,P14416
DB01175,P23975
DB01175,Q01959
DB01177,P11388
DB01182,Q14524
DB01182,Q12809
DB01182,P08588
DB01182,P07550
DB01183,P35372
DB01183,P41143
DB01183,P41145
DB01183,P16220
DB01183,P03372
DB01183,O00206
DB01183,P23141
DB01184,P35462
DB01184,P14416
DB01193,P08588
DB01193,P07550
DB01196,Q92731
DB01196,P03372
DB01196,P11137
DB01196,P78559
DB01200,P14416
DB01200,P35462
DB01200,P28221
DB01200,P08913
DB01200,P08908
DB01200,P18825
DB01200,P18089
DB01200,P41595
DB01200,P21917
DB01200,P28223
DB01200,P28222
DB01200,P28335
DB01200,P21918
DB01200,P21728
DB01200,P35348
DB01200,P35368
DB01200,P25100
DB01200,P34969
DB01204,P11388
DB01211,P0A7J6
DB01211,Q12809
DB01211,Q9Y6L6
DB01211,Q9NPD5
DB01212,P0A3M6
DB01212,Q9NSA0
DB01212,Q4U2R8
DB01212,Q8TCC7
DB01212,P46059
DB01221,Q8TCU5
DB01221,P46098
DB01221,P36544
DB01221,P06276
DB01221,P29475
DB01221,P25103
DB01221,P14416
DB01221,P41143
DB01221,P23975
DB01221,P41145
DB01221,P35372
DB01221,P11229
DB01221,P08172
DB01221,P20309
DB01221,P08173
DB01221,P08912
DB01221,P28223
DB01221,P41595
DB01221,P28335
DB01221,P08908
DB01221,P28222
DB01221,P28221
DB01221,P28566
DB01221,P30939
DB01224,P28223
DB01224,P14416
DB01224,P08908
DB01224,P28222
DB01224,P28221
DB01224,P28566
DB01224,P28335
DB01224,P46098
DB01224,P50406
DB01224,P34969
DB01224,P21728
DB01224,P21918
DB01224,P35462
DB01224,P21917
DB01224,P35367
DB01224,P35348
DB01224,P35368
DB01224,P25100
DB01224,P08913
DB01224,P18089
DB01224,P18825
DB01224,P11229
DB01224,P08172
DB01224,P20309
DB01224,P08173
DB01224,P08912
DB01229,Q9H4B7
DB01229,P10415
DB01229,P27816
DB01229,P11137
DB01229,P10636
DB01229,O75469
DB01234,P04150
DB01234,P51843
DB01234,P04083
DB01234,P35228
DB01234,O75469
DB01235,P21728
DB01235,P21918
DB01235,P14416
DB01235,P35462
DB01235,P21917
DB01241,Q07869
DB01241,Q9Y6L6
DB01241,Q8TCC7
DB01241,O94956
DB01241,Q9NPD5
DB01242,P31645
DB01242,P28223
DB01242,P41595
DB01242,P28335
DB01242,P23975
DB01242,P09211
DB01244,O00555
DB01244,O95180
DB01244,Q9NY47
DB01244,P05023
DB01244,P51787
DB01244,P63316
DB01244,P0DP23
DB01244,Q01064
DB01244,P54750
DB01244,Q12809
DB01248,Q9H4B7
DB01248,P11137
DB01248,P27816
DB01248,P10636
DB01248,P10415
DB01248,O75469
DB01254,P00519
DB01254,P12931
DB01254,P29317
DB01254,P06239
DB01254,P07947
DB01254,P10721
DB01254,P09619
DB01254,P51692
DB01254,P42684
DB01254,P06241
DB01254,Q06187
DB01254,Q92570
DB01254,P11274
DB01254,P41240
DB01254,P54756
DB01254,P54760
DB01254,P09769
DB01254,P42685
DB01254,P11142
DB01254,P07948
DB01254,Q9NYL2
DB01254,Q16539
DB01254,Q06203
DB01261,P27487
DB01268,P09619
DB01268,P17948
DB01268,P10721
DB01268,P35968
DB01268,P35916
DB01268,P36888
DB01268,P07333
DB01268,P16234
DB01268,P08581
DB01327,P02918
DB01327,P02919
DB01327,P76577
DB01327,P0AD65
DB01327,P0AD68
DB01327,P27169
DB01327,P40933
DB01327,P60568
DB01337,Q15822
DB01337,P08172
DB01337,P20309
DB01388,O43497
DB01388,O95180
DB01388,Q13936
DB01388,Q01668
DB01388,O60840
DB01388,Q9P0X4
DB01388,Q13698
DB01388,Q02641
DB01388,Q08289
DB01388,P54284
DB01388,O00305
DB01393,Q03181
DB01393,P37231
DB01393,Q07869
DB01393,O75469
DB01393,P19793
DB01393,P28702
DB01393,P48443
DB01394,P07437
DB01396,P05023
DB01400,P22303
DB01435,P35354
DB01435,P23219
DB01577,Q01959
DB01577,P31645
DB01577,P23975
DB01577,Q05940
DB01577,P54219
DB01577,Q96RJ0
DB01577,P08913
DB01577,P18089
DB01577,P18825
DB01577,P21397
DB01577,P27338
DB01580,P08588
DB01580,P13945
DB01580,P07550
DB01586,P52895
DB01586,Q96RI1
DB01595,P14867
DB01595,P47869
DB01595,P34903
DB01595,P48169
DB01595,P31644
DB01595,Q16445
DB01595,P18505
DB01595,P47870
DB01595,P28472
DB01595,O14764
DB01595,P78334
DB01595,Q8N1C3
DB01595,P18507
DB01595,Q99928
DB01595,O00591
DB01595,Q9UN88
DB01595,P14867
DB01595,P47869
DB01595,P34903
DB01595,P31644
DB01595,Q8N1C3
DB01595,P18507
DB01595,Q99928
DB01595,P35498
DB01623,P14416
DB01623,P21728
DB01623,P28223
DB01645,Q15788
DB01645,P03372
DB01645,Q15596
DB01645,O95718
DB01645,P11474
DB01645,O75469
DB01645,P31749
DB01645,Q99527
DB01645,Q16678
DB01645,P04278
DB01645,Q92731
DB01645,P11388
DB01645,Q14289
DB01645,P13569
DB03128,P11229
DB03128,P08172
DB03128,P20309
DB03128,P08173
DB03128,P36544
DB03783,P23219
DB04216,P48736
DB04216,Q6NUS8
DB04216,P25705
DB04216,P06576
DB04216,P36542
DB04216,P11309
DB04216,Q9AIU0
DB04216,Q6NVY1
DB04216,Q5G940
DB04216,O94768
DB04216,P03372
DB04216,Q92731
DB04216,P16083
DB04216,P35869
DB04216,Q16678
DB04216,P60709
DB04216,P68400
DB04216,P67870
DB04216,O00303
DB04216,P07900
DB04216,P54652
DB04216,Q9Y230
DB04216,Q15393
DB04216,P22314
DB04216,P04278
DB04216,P16152
DB04216,P17676
DB04216,O75469
DB04216,P08631
DB04557,Q07869
DB04557,Q96RI1
DB04557,P19793
DB04557,P23219
DB04557,P29498
