Disease,Protein
D005921,P10145
D006333,P10145
D006930,P10145
D006976,P10145
D007249,P10145
D007634,P10145
D009361,P10145
D010051,P10145
D010190,P10145
D011471,P10145
D029424,P10145
D011658,P10145
D015427,P10145
D013203,P10145
D013274,P10145
D013964,P10145
D001749,P10145
D001943,Q07325
D004715,Q07325
D006967,Q07325
D008105,Q07325
D008106,Q07325
D008114,Q07325
D011014,Q07325
D001927,Q6LCZ7
D006967,Q6LCZ7
D006973,Q6LCZ7
D020244,Q6LCZ7
D008107,Q6LCZ7
D009437,Q6LCZ7
D011014,Q6LCZ7
D018805,Q6LCZ7
D001327,P49682
D005921,P49682
D006967,P49682
D007249,P49682
D007511,P49682
D011014,P49682
D020521,P49682
D001172,Q5MIL4
D001943,Q5MIL4
D002471,Q5MIL4
D009361,Q5MIL4
D009362,Q5MIL4
D009400,Q5MIL4
D009437,Q5MIL4
D008105,Q2YD84
D004715,P00167
D009765,P00167
D012128,P00167
D008708,P00387
D050197,Q86SL0
D003921,Q86SL0
D003924,Q86SL0
D006331,Q86SL0
D006529,Q86SL0
D006973,Q86SL0
D007676,Q86SL0
D008103,Q86SL0
D008106,Q86SL0
D051437,Q86SL0
D001172,P04839
D020520,P04839
D003920,P04839
D003921,P04839
D006333,P04839
D006973,P04839
D007674,P04839
D007676,P04839
D008106,P04839
D015428,P04839
D011507,P04839
D015427,P04839
D002545,P99999
D005234,P99999
D007511,P99999
D002546,P99999
D009765,P99999
D013921,P99999
D006529,Q8WWM9
D008105,Q8WWM9
D008106,Q8WWM9
D006528,Q9NQC7
D002289,Q9NQC7
D002583,Q9NQC7
D016889,Q2HZF3
D012640,Q2HZF3
D011471,Q16316
D001943,Q1HB44
D006528,Q1HB44
D006947,Q1HB44
D006974,Q1HB44
D007247,Q1HB44
D008106,Q1HB44
D009437,Q1HB44
D065626,Q1HB44
D011471,Q1HB44
D020018,Q1HB44
D001749,Q1HB44
D000230,Q8IYG4
D001321,Q8IYG4
D001943,Q8IYG4
D004715,Q8IYG4
D004938,Q8IYG4
D005234,Q8IYG4
D005355,Q8IYG4
D007247,Q8IYG4
D009362,Q8IYG4
D010024,Q8IYG4
D011471,Q8IYG4
D012008,Q8IYG4
D001919,Q5J9B1
D001943,Q5J9B1
D006528,Q5J9B1
D006332,Q5J9B1
D056486,Q5J9B1
D003921,Q5J9B1
D003875,Q5J9B1
D006417,Q5J9B1
D006529,Q5J9B1
D006967,Q5J9B1
D006973,Q5J9B1
D007680,Q5J9B1
D008133,Q5J9B1
D055370,Q5J9B1
D048629,Q5J9B1
D016491,Q5J9B1
D011471,Q5J9B1
D029424,Q5J9B1
D013616,Q5J9B1
D001284,P05177
D006528,P05177
D002294,P05177
D056486,P05177
D002779,P05177
D015179,P05177
D003924,P05177
D064420,P05177
D006130,P05177
D006529,P05177
D008103,P05177
D008106,P05177
D008107,P05177
D008114,P05177
D055370,P05177
D008175,P05177
D008708,P05177
D009436,P05177
D065626,P05177
D017119,P05177
D054198,P05177
D029424,P05177
D013163,P05177
D000236,Q53TK1
D001943,Q53TK1
D002294,Q53TK1
D006332,Q53TK1
D056486,Q53TK1
D015179,Q53TK1
D005234,Q53TK1
D018149,Q53TK1
D006529,Q53TK1
D008175,Q53TK1
D008545,Q53TK1
D009765,Q53TK1
D010051,Q53TK1
D054198,Q53TK1
D011471,Q53TK1
D001943,Q07973
D006934,Q07973
D008175,Q07973
D010024,Q07973
D051437,Q07973
D009765,Q9NR63
D050197,Q96T86
D002779,Q96T86
D008103,Q96T86
D006934,Q9UP42
D017285,Q9UP42
D002471,Q16696
D000230,P11509
D001927,P11509
D056486,P11509
D015179,P11509
D008175,P11509
D011471,P11509
D013274,P11509
D006528,Q9UNX8
D056486,Q9UNX8
D007676,Q9UNX8
D008106,Q16750
D011471,Q2XN56
D058186,Q767A3
D001281,Q767A3
D002318,Q767A3
D056486,Q767A3
D007676,Q767A3
D011471,Q767A3
D013927,Q767A3
D006528,P10632
D064420,P10632
D007674,P10632
D009422,P10632
D010523,P10632
D054198,P10632
D012206,P10632
D058186,Q9UQ59
D001932,Q9UQ59
D009202,Q9UQ59
D056486,Q9UQ59
D004342,Q9UQ59
D064420,Q9UQ59
D006470,Q9UQ59
D009395,Q9UQ59
D009422,Q9UQ59
D058186,Q6NWU0
D000544,Q6NWU0
D019969,Q6NWU0
D001480,Q6NWU0
D001919,Q6NWU0
D001943,Q6NWU0
D003128,Q6NWU0
D064420,Q6NWU0
D004421,Q6NWU0
D004830,Q6NWU0
D009127,Q6NWU0
D009395,Q6NWU0
D010300,Q6NWU0
D011297,Q6NWU0
D020018,Q6NWU0
D019966,Q6NWU0
D014202,Q6NWU0
D015430,Q6NWU0
D000230,Q6NWT7
D001249,Q6NWT7
D006528,Q6NWT7
D002289,Q6NWT7
D006332,Q6NWT7
D056486,Q6NWT7
D003875,Q6NWT7
D064420,Q6NWT7
D005234,Q6NWT7
D008113,Q6NWT7
D008114,Q6NWT7
D008175,Q6NWT7
D008228,Q6NWT7
D048629,Q6NWT7
D009336,Q6NWT7
D009361,Q6NWT7
D065626,Q6NWT7
D009765,Q6NWT7
D010300,Q6NWT7
D054198,Q6NWT7
D011471,Q6NWT7
D008103,Q6VVX0
D011565,Q96SQ9
D006528,Q9NYL5
D001943,Q7Z448
D056486,Q7Z448
D011471,Q7Z448
D016171,Q7Z448
D011471,Q9HB51
D007674,Q96RK8
D020258,Q96RK8
D011471,Q96RK8
D013927,Q96RK8
D000544,Q9Y6A2
D006528,Q02928
D008103,Q02928
D001749,Q8WWV1
D006973,P78329
D011041,Q08477
D002779,P22680
D006937,P22680
D000230,Q05C57
D002779,Q05C57
D005234,Q05C57
D008107,Q05C57
D011471,Q05C57
D056486,Q9UNU6
D002779,Q9UNU6
D008106,Q9H0Q0
D008106,Q9NUQ9
D004342,Q9Y271
D004342,Q5KU17
D011658,Q5KU17
D008106,Q9H1C7
D001281,Q15438
D010024,Q6DCB0
D008175,Q5VWQ8
D009203,Q5VWQ8
D016491,Q5VWQ8
D011471,Q5VWQ8
D011655,Q5VWQ8
D015179,Q9NYF0
D008113,Q5SW24
D011471,Q9UMK9
D001321,P19801
D008106,P19801
D012559,P19801
D012559,Q8IWM3
D001943,P51398
D000230,P53355
D001932,P53355
D002289,P53355
D002292,P53355
D002295,P53355
D015470,P53355
D008175,P53355
D009190,P53355
D009362,P53355
D010523,P53355
D006529,Q1RMF4
D015473,Q1RMF4
D010003,Q9UN19
D010190,Q4VX54
D006528,Q5T382
D010259,Q5T382
D010673,Q5T382
D002277,P07108
D015674,P07108
D008325,P07108
D008106,Q9BQY9
D056486,Q5VVL7
D006528,Q8NA75
D011471,Q58WW2
D019465,P61962
D008545,Q8N8Z6
D013274,Q96IX0
D015179,Q49AK4
D004938,Q49AK4
D008545,Q49AK4
D008113,P81605
D015179,Q5VZY9
D006528,Q6FH10
D016889,Q6FH10
D005355,Q6FH10
D017202,Q6FH10
D009395,Q6FH10
D019969,Q9H295
D004715,Q9H295
D019964,Q6AWB1
D020734,Q6AWB1
D003550,Q9UJW0
D008106,Q7Z4W1
D009765,Q7Z4W1
D011471,Q7Z4W1
D003324,Q5SSV3
D056486,Q16531
D013274,Q16531
D008106,Q6IBS8
D001523,Q6IBS8
D009410,Q6IBS8
D010300,Q6IBS8
D020734,Q6IBS8
D010673,Q6IBS8
D001943,Q53YD1
D005234,Q53YD1
D007410,Q53YD1
D009203,Q53YD1
D009765,Q53YD1
D009798,Q53YD1
D013119,Q53YD1
D014456,Q53YD1
D001172,Q9NX09
D007938,Q9NX09
D009410,Q9NX09
D010300,Q9NX09
D008545,Q96D03
D001259,Q99489
D012735,Q99489
D015430,Q99489
D000230,Q96T62
D008175,Q96T62
D008325,Q96T62
D011471,Q96T62
D019966,Q92499
D004715,P17844
D008113,Q8TDD1
D011230,Q8TDD1
D001172,P26196
D010300,P12838
D008180,Q9H4E7
D015473,Q6EZE9
D003110,Q01523
D011471,P60022
D001943,P35659
D004195,P35659
D009361,P35659
D009362,P35659
D008105,Q96AX6
D006528,Q5TB30
D006528,Q8WUY9
D008106,Q96QD5
D001943,Q9NTK1
D004715,Q9NTK1
D008064,Q9NTK1
D013262,Q9BUN8
D001281,Q5RLN2
D001943,Q5RLN2
D002277,Q5RLN2
D005317,Q5RLN2
D005921,Q5RLN2
D020138,Q5RLN2
D015674,Q5RLN2
D008325,Q5RLN2
D013274,Q5RLN2
D010051,Q9BSY9
D002289,Q05D60
D005909,Q05D60
D003967,Q9BRH5
D056486,Q96PD7
D002779,Q96PD7
D012559,Q8IWC8
D001523,Q8WYQ5
D001281,Q9Y6T7
D003924,Q53SV4
D003928,Q86XP1
D009203,Q7Z5X8
D006975,Q9BVK7
D000544,Q15392
D001321,Q9UBM7
D004195,Q9UBM7
D015473,Q9UBM7
D008103,Q9UBM7
D011471,Q9UQ10
D000749,P00374
D001172,P00374
D001321,P00374
D001943,P00374
D056486,P00374
D015179,P00374
D064420,P00374
D007247,P00374
D009362,P00374
D009422,P00374
D010198,P00374
D008106,Q5SUY4
D056486,Q9Y394
D005234,Q9Y394
D008106,Q9Y394
D008106,Q96HY7
D011471,Q7L2E3
D002545,Q502X2
D015428,Q502X2
D011471,Q502X2
D004715,Q5D0K5
D008113,Q5D0K5
D009845,Q5D0K5
D008106,P49895
D004715,Q9NZL0
D008654,Q9NZL0
D001943,P55073
D009362,P55073
D064420,Q96IB4
D001321,Q8NDZ4
D008106,Q8NDZ4
D006528,Q9H7Y0
D001008,Q9NRI2
D001321,Q9NRI2
D003866,Q9NRI2
D006948,Q9NRI2
D019957,Q9NRI2
D010146,Q9NRI2
D012559,Q9NRI2
D001008,Q155Q3
D001321,Q155Q3
D001714,Q155Q3
D003866,Q155Q3
D012559,Q155Q3
D056486,Q86YI5
D017202,Q86YI5
D015179,Q45XF9
D009369,Q45XF9
D010051,Q45XF9
D013274,Q45XF9
D002972,Q6PJH1
D012559,Q6PJH1
D008545,Q15700
D001321,Q9P1A6
D006528,Q15398
D005317,Q969Y6
D009190,Q969Y6
D019465,Q9NYJ7
D001943,Q9NR61
D001321,Q53SU3
D019465,Q53SU3
D001321,Q53QU7
D019465,Q53QU7
D009361,Q92988
D019465,Q53Y73
D019465,P56179
D003110,Q9UGM3
D001259,Q9UPB5
D006332,Q9UPB5
D009202,Q9UPB5
D002311,Q9UPB5
D004195,Q9UPB5
D018908,Q9UPB5
D009336,Q9UPB5
D009361,Q9UPB5
D009362,Q9UPB5
D013226,Q9UPB5
D018754,Q9UPB5
D013736,Q9Y5R6
D005910,Q05C95
D001281,Q8IVF4
D003327,Q75MY1
D050171,Q75MY1
D015430,Q75MY1
D001249,Q8TE73
D019970,Q8IZR0
D010259,Q8IZR0
D019966,Q8IZR0
D008175,Q6TDU7
D056486,Q6FIF1
D002779,Q6FIF1
D008545,Q5T1X2
D009369,Q8N4C5
D011471,Q8N4C5
D056486,Q6IAH1
D002779,Q6IAH1
D008545,Q9Y5T4
D011471,Q13217
D008180,P24855
D011507,P24855
D011471,Q92874
D001172,Q13609
D006528,Q13609
D008175,Q13609
D008180,Q13609
D002292,Q96M86
D004827,Q05193
D000140,Q32Q67
D017202,Q32Q67
D009205,Q32Q67
D009896,Q32Q67
D010300,Q32Q67
D007680,Q9UQ16
D000230,P26358
D001008,P26358
D001169,P26358
D001249,P26358
D001943,P26358
D002277,P26358
D003110,P26358
D003704,P26358
D034381,P26358
D009190,P26358
D009361,P26358
D011471,P26358
D013274,P26358
D001943,Q8WVA9
D019465,Q8WVA9
D006130,Q8WVA9
D015470,Q8WVA9
D015473,Q8WVA9
D008175,Q8WVA9
D009190,Q8WVA9
D001943,Q2PJS8
D002277,Q2PJS8
D019465,Q2PJS8
D007247,Q2PJS8
D009190,Q2PJS8
D011471,Q2PJS8
D013274,Q2PJS8
D019966,Q14185
D008106,Q4ZG60
D001321,Q75MU6
D008106,Q96N67
D002658,Q86XD0
D012008,Q86XD0
D008175,Q2TA81
D010051,Q2TA81
D008175,Q7L591
D015179,Q9NYP3
D015179,Q8TEK3
D011471,Q8TEK3
D015179,Q9H3H5
D013274,Q9H3H5
D010003,Q6I9V1
D001281,Q92784
D008113,Q53TB1
D011230,Q53TB1
D011507,P27487
D008106,Q9UHL4
D009336,Q9UHL4
D001321,Q12882
D001943,Q12882
D006528,Q12882
D003110,Q12882
D015179,Q12882
D006258,Q12882
D056784,Q12882
D008175,Q12882
D009362,Q12882
D009422,Q12882
D009503,Q12882
D009765,Q12882
D010190,Q12882
D010523,Q12882
D012559,Q12882
D013274,Q12882
D008106,Q14117
D000544,Q16555
D010003,Q16555
D012563,Q16555
D008106,Q8N682
D008545,Q14919
D010300,Q8NBI3
D019969,Q6FH34
D001321,Q6FH34
D001714,Q6FH34
D002375,Q6FH34
D019970,Q6FH34
D004409,Q6FH34
D006948,Q6FH34
D007022,Q6FH34
D009069,Q6FH34
D010300,Q6FH34
D012559,Q6FH34
D012640,Q6FH34
D019969,Q6LDH7
D001008,Q6LDH7
D001289,Q6LDH7
D001480,Q6LDH7
D001919,Q6LDH7
D002375,Q6LDH7
D019970,Q6LDH7
D003072,Q6LDH7
D002658,Q6LDH7
D007174,Q6LDH7
D004409,Q6LDH7
D020820,Q6LDH7
D006556,Q6LDH7
D006948,Q6LDH7
D006966,Q6LDH7
D006973,Q6LDH7
D007022,Q6LDH7
D008569,Q6LDH7
D009069,Q6LDH7
D010146,Q6LDH7
D010300,Q6LDH7
D020734,Q6LDH7
D010911,Q6LDH7
D012559,Q6LDH7
D012640,Q6LDH7
D019966,Q6LDH7
D013375,Q6LDH7
D013610,Q6LDH7
D015430,Q6LDH7
D019969,Q9NY31
D001321,Q9NY31
D001480,Q9NY31
D019970,Q9NY31
D003072,Q9NY31
D007174,Q9NY31
D004409,Q9NY31
D006930,Q9NY31
D006948,Q9NY31
D009069,Q9NY31
D012559,Q9NY31
D012640,Q9NY31
D005879,Q9NY31
D019969,Q8WXP7
D001289,Q8WXP7
D012559,Q8WXP7
D013981,Q8WXP7
D001289,P21918
D001714,P21918
D003866,P21918
D011618,P21918
D014103,P21918
D008545,Q9HB00
D056486,Q02487
D001943,Q9HAX1
D006529,Q8WY19
D019966,Q8WY19
D003872,Q712V6
D006967,Q712V6
D016757,P15924
D029424,P15924
D011658,P15924
D002294,Q9NZW4
D004195,P60981
D006333,P60981
D020257,P60981
D006528,Q9NZJ0
D001523,Q96EV8
D012559,Q96EV8
D001932,Q75MM6
D001943,Q8N9I9
D008106,Q9BTJ3
D004715,P28562
D017202,P28562
D007249,Q6IAR2
D008106,Q8IVT8
D009103,Q4G0W2
D002289,P51452
D006973,Q16690
D002277,Q689E8
D005909,Q689E8
D008106,Q689E8
D015674,Q689E8
D008325,Q689E8
D017202,Q689E8
D054198,Q9UBX2
D010523,Q8N542
D001943,Q49AI6
D002545,Q6FGH9
D004827,Q13627
D010190,Q13627
D010051,Q9Y463
D008106,Q7Z6P1
D001943,Q01094
D006528,Q01094
D002289,Q01094
D056486,Q01094
D008545,Q01094
D009369,Q01094
D002289,Q14209
D002289,Q499G5
D002289,Q15329
D002289,Q6Q9Z7
D002289,Q96AV8
D002471,Q9BV18
D006528,Q96CJ1
D008175,Q96CJ1
D016393,Q96CJ1
D011471,Q96CJ1
D002471,Q9UH73
D012128,Q9UH73
D013274,Q14213
D001342,P42892
D019465,P42892
D003924,P42892
D006330,P42892
D006973,P42892
D056486,Q9NTX5
D008545,Q9NTX5
D056486,P30084
D009765,P30084
D013274,P30084
D006528,Q2QKP8
D013274,Q2QKP8
D006528,Q9H8V3
D008106,Q9H8V3
D008545,Q92838
D056486,Q92611
D012559,Q9BV94
D058186,Q6FH53
D001145,Q6FH53
D001249,Q6FH53
D001281,Q6FH53
D001919,Q6FH53
D006332,Q6FH53
D009202,Q6FH53
D002318,Q6FH53
D002471,Q6FH53
D002561,Q6FH53
D019465,Q6FH53
D003865,Q6FH53
D003921,Q6FH53
D003924,Q6FH53
D007172,Q6FH53
D005767,Q6FH53
D005923,Q6FH53
D006330,Q6FH53
D006333,Q6FH53
D006930,Q6FH53
D006937,Q6FH53
D006973,Q6FH53
D006976,Q6FH53
D006984,Q6FH53
D017379,Q6FH53
D007022,Q6FH53
D020244,Q6FH53
D007249,Q6FH53
D007674,Q6FH53
D008106,Q6FH53
D017202,Q6FH53
D015428,Q6FH53
D009404,Q6FH53
D019226,Q6FH53
D010146,Q6FH53
D010300,Q6FH53
D010437,Q6FH53
D047928,Q6FH53
D011658,Q6FH53
D051437,Q6FH53
D015427,Q6FH53
D012128,Q6FH53
D020521,Q6FH53
D013345,Q6FH53
D016055,Q6FH53
D001919,P20800
D007022,P20800
D001919,Q6LDQ8
D006973,Q6LDQ8
D007022,Q6LDQ8
D019465,P25101
D003924,P25101
D007172,P25101
D006330,P25101
D006333,P25101
D006973,P25101
D010051,P25101
D020521,P25101
D001943,P24530
D003924,P24530
D006333,P24530
D006976,P24530
D009361,P24530
D013345,P24530
D002277,Q96EB3
D015674,Q96EB3
D008325,Q96EB3
D013274,Q96EB3
D004827,Q05639
D013274,Q05639
D001943,P24534
D009362,P24534
D000230,Q6PK56
D001943,Q6PK56
D002292,Q6PK56
D008175,Q6PK56
D009361,Q6PK56
D009362,Q6PK56
D010003,Q6PK56
D012008,Q6PK56
D029424,P57772
D008106,Q5T8I3
D000230,Q580Q6
D001943,Q580Q6
D002277,Q580Q6
D015179,Q580Q6
D008175,Q580Q6
D015674,Q580Q6
D008325,Q580Q6
D010190,Q580Q6
D011471,Q6FH22
D004832,Q5JVL4
D005910,Q7Z2Z2
D001943,P20827
D015427,P52803
D007249,P98172
D009765,P98172
D008113,Q2PDH7
D008175,Q2PDH7
D011230,Q2PDH7
D015427,Q2PDH7
D000230,Q6QBS2
D001321,Q6QBS2
D001943,Q6QBS2
D006528,Q6QBS2
D002471,Q6QBS2
D002972,Q6QBS2
D003872,Q6QBS2
D005909,Q6QBS2
D007674,Q6QBS2
D008106,Q6QBS2
D009361,Q6QBS2
D009362,Q6QBS2
D011230,Q6QBS2
D011471,Q6QBS2
D011658,Q6QBS2
D015427,Q6QBS2
D013276,Q6QBS2
D058186,Q9H3D0
D000230,Q9H3D0
D001169,Q9H3D0
D001943,Q9H3D0
D002277,Q9H3D0
D006528,Q9H3D0
D002289,Q9H3D0
D002294,Q9H3D0
D002311,Q9H3D0
D003110,Q9H3D0
D015179,Q9H3D0
D019465,Q9H3D0
D003872,Q9H3D0
D003924,Q9H3D0
D004715,Q9H3D0
D004938,Q9H3D0
D005909,Q9H3D0
D006258,Q9H3D0
D007333,Q9H3D0
D008175,Q9H3D0
D015674,Q9H3D0
D008325,Q9H3D0
D008654,Q9H3D0
D009361,Q9H3D0
D009362,Q9H3D0
D010051,Q9H3D0
D010190,Q9H3D0
D011471,Q9H3D0
D013274,Q9H3D0
D001749,Q9H3D0
D002583,Q9H3D0
D020258,Q9GZT9
D008113,Q3T1B0
D001327,Q546S1
D002545,Q546S1
D006528,Q546S1
D002761,Q546S1
D002779,Q546S1
D002780,Q546S1
D019970,Q546S1
D006869,Q546S1
D000860,Q546S1
D007249,Q546S1
D007511,Q546S1
D008175,Q546S1
D008654,Q546S1
D011014,Q546S1
D011471,Q546S1
D015427,Q546S1
D001321,P11161
D006528,P11161
D017202,P11161
D001259,Q06889
D011471,Q8NDI1
D005910,Q9H4M9
D006528,Q9NZN3
D015470,Q9NZN3
D011471,Q9NZC4
D011471,Q08426
D019966,Q08426
D054198,Q9H9B1
D002471,Q96KQ7
D019970,Q96KQ7
D015470,Q96KQ7
D008175,Q96KQ7
D009362,Q96KQ7
D054198,Q96KQ7
D008654,Q9Y6B2
D008545,Q8N9N8
D009362,P47813
D017202,Q9BY44
D015427,Q9BY44
D000743,Q9BQI3
D056486,Q9BQI3
D065626,Q9BQI3
D012128,Q9BQI3
D013163,Q9BQI3
D011471,Q8IW76
D013226,Q8IW76
D017202,Q9NZJ5
D013226,Q9NZJ5
D006976,Q9P2K8
D009135,Q9P2K8
D004195,Q14232
D000544,Q53XC0
D003072,Q53XC0
D009410,Q53XC0
D013226,Q53XC0
D001943,Q6IBR8
D011471,Q7Z5T5
D004195,Q6IAX5
D006528,Q6IB98
D015179,Q6IB98
D011471,Q6IB98
D002471,Q5U0F4
D003110,Q5U0F4
D009362,Q9NZE6
D001321,Q32Q75
D009361,Q32Q75
D008106,Q8N5X7
D007249,Q13541
D007680,Q13541
D015470,Q13541
D011230,Q13541
D056486,Q6FG68
D001321,Q96I65
D012559,Q6IBU0
D002277,Q8WXQ9
D015674,Q8WXQ9
D008325,Q8WXQ9
D001943,P56537
D019966,Q53HC9
D011471,Q9BQ52
D009503,P08246
D004715,Q15717
D055370,Q5SR36
D001943,P41970
D003928,Q92556
D013262,Q92556
D006973,Q9UMK5
D017202,Q9UMK5
D029424,Q9UMK5
D011658,Q9UMK5
D002292,Q15369
D008106,Q9NYP7
D006333,Q9H5J4
D001943,Q9H9T3
D004195,Q9H9T3
D009361,Q9H9T3
D009362,Q9H9T3
D008106,Q6PCB8
D001932,Q583U9
D002289,Q583U9
D009362,Q583U9
D008106,Q8WWD6
D011471,Q8WWD6
D011471,Q6IBD3
D001943,Q7Z589
D008175,Q04743
D009361,Q05925
D009422,Q05925
D001321,P19622
D013651,P19622
D015470,Q8N8S7
D008106,Q96L69
D003550,Q96CG0
D054058,P06733
D000230,P06733
D000544,P06733
D001172,P06733
D001943,P06733
D002277,P06733
D006528,P06733
D002289,P06733
D002294,P06733
D056486,P06733
D004195,P06733
D004938,P06733
D015674,P06733
D008325,P06733
D009361,P06733
D010003,P06733
D010024,P06733
D013274,P06733
D002289,Q6FHV6
D002471,Q6FHV6
D015470,Q6FHV6
D008114,Q6FHV6
D009374,Q6FHV6
D010300,Q6FHV6
D001749,Q6FHV6
D008107,P13929
D009369,Q32ND0
D003928,Q07075
D008106,Q07075
D003924,P22413
D004715,P22413
D009765,P22413
D006505,Q13822
D008106,Q13822
D009362,Q13822
D013964,Q13822
D011471,Q9UJA9
D017202,Q5T5H1
D008105,Q9Y5L3
D009765,Q5QPJ7
D001943,Q7Z6C1
D002294,Q7Z6C1
D002295,Q7Z6C1
D015179,Q7Z6C1
D019465,Q7Z6C1
D016889,Q7Z6C1
D008545,Q7Z6C1
D009765,Q7Z6C1
D013262,Q7Z6C1
D001749,Q7Z6C1
D006528,Q53ST6
D002292,Q53ST6
D002471,Q53ST6
D009361,Q53ST6
D008545,Q4VB87
D008106,Q9UG62
D001943,Q96HL7
D003924,Q52LR7
D002277,P16422
D008106,P16422
D015674,P16422
D008325,P16422
D010051,P16422
D010190,P16422
D011471,P16422
D009202,Q9HCE0
D000544,P21709
D015179,P21709
D009369,Q96HF4
D001281,Q6P4R6
D064420,Q15375
D006470,Q15375
D001943,Q96L35
D000014,Q6FGZ3
D019969,Q6FGZ3
D002277,Q6FGZ3
D006528,Q6FGZ3
D056486,Q6FGZ3
D005334,Q6FGZ3
D015470,Q6FGZ3
D008175,Q6FGZ3
D008223,Q6FGZ3
D008228,Q6FGZ3
D015674,Q6FGZ3
D008325,Q6FGZ3
D048629,Q6FGZ3
D009101,Q6FGZ3
D017202,Q6FGZ3
D054198,Q6FGZ3
D011471,Q6FGZ3
D029424,Q6FGZ3
D012878,Q6FGZ3
D058186,P34913
D064420,P34913
D006333,P34913
D017202,P34913
D015428,P34913
D012559,P34913
D018487,P34913
D008545,Q9H6B9
D013274,Q9H6B9
D058186,P11678
D000740,P11678
D000743,P11678
D001930,P11678
D009202,P11678
D002493,P11678
D003072,P11678
D003324,P11678
D004681,P11678
D005221,P11678
D006331,P11678
D006345,P11678
D006463,P11678
D006973,P11678
D007249,P11678
D007674,P11678
D007676,P11678
D008545,P11678
D048629,P11678
D009190,P11678
D009203,P11678
D009361,P11678
D009362,P11678
D009410,P11678
D019636,P11678
D010198,P11678
D011041,P11678
D011115,P11678
D011655,P11678
D051437,P11678
D012770,P11678
D013226,P11678
D013276,P11678
D017180,P11678
D013921,P11678
D013927,P11678
D013964,P11678
D014511,P11678
D014652,P11678
D020246,P11678
D014693,P11678
D015431,P11678
D001943,P19235
D008545,P19235
D009361,P19235
D009362,P19235
D009410,P19235
D013964,P19235
D009361,Q12929
D006528,Q8TE67
D011471,Q8TE67
D006973,Q9NZ08
D008106,Q9NZ08
D011565,Q9NZ08
D000230,Q9UK79
D001943,Q9UK79
D002292,Q9UK79
D003110,Q9UK79
D004195,Q9UK79
D004938,Q9UK79
D005910,Q9UK79
D008175,Q9UK79
D015674,Q9UK79
D008325,Q9UK79
D009362,Q9UK79
D009374,Q9UK79
D010051,Q9UK79
D011471,Q9UK79
D012008,Q9UK79
D013274,Q9UK79
D001749,Q9UK79
D001943,P21860
D008175,P21860
D009362,P21860
D011471,P21860
D012008,P21860
D001281,Q580Q7
D008545,Q580Q7
D012878,Q580Q7
D002289,Q8WWH8
D008175,Q8WWH8
D008545,Q8WWH8
D009362,Q8WWH8
D009369,Q8WWH8
D010523,Q8WWH8
D013274,Q8WWH8
D013736,Q8WWH8
D002583,Q8WWH8
D002294,Q2TB79
D015179,Q2TB79
D011471,Q2TB79
D012871,Q2TB79
D012878,Q2TB79
D013274,Q2TB79
D001749,Q2TB79
D010523,P19447
D048629,Q92889
D009362,Q92889
D010523,Q92889
D012008,Q92889
D013736,Q92889
D001749,Q92889
D015179,Q9NR54
D002386,Q03468
D019465,Q03468
D006130,Q03468
D034381,Q03468
D008175,Q03468
D011596,Q03468
D019465,P50548
D011471,P50548
D007938,Q7LDT7
D015470,Q7LDT7
D054198,Q7LDT7
D011471,Q7LDT7
D002289,Q5JWS2
D008175,Q5JWS2
D009374,Q5JWS2
D011230,Q5JWS2
D056486,Q96DZ1
D002779,Q96DZ1
D006528,P30040
D009362,P30040
D011471,P30040
D011471,Q9BS26
D002471,Q9UJM3
D004715,Q9UJM3
D008106,Q96DF8
D012559,Q96AP7
D007680,Q56NI9
D000860,P10768
D010003,P10768
D006528,Q9NQ30
D008113,Q9NQ30
D002295,Q14674
D001749,Q14674
D003638,Q5JYL1
D000230,Q9UE35
D000544,Q9UE35
D050197,Q9UE35
D001847,Q9UE35
D001943,Q9UE35
D002277,Q9UE35
D006528,Q9UE35
D002471,Q9UE35
D003324,Q9UE35
D004195,Q9UE35
D016889,Q9UE35
D005921,Q9UE35
D007247,Q9UE35
D007938,Q9UE35
D008113,Q9UE35
D008114,Q9UE35
D008175,Q9UE35
D015674,Q9UE35
D008325,Q9UE35
D008654,Q9UE35
D008881,Q9UE35
D028361,Q9UE35
D009203,Q9UE35
D009361,Q9UE35
D009362,Q9UE35
D009765,Q9UE35
D009845,Q9UE35
D011471,Q9UE35
D011605,Q9UE35
D001749,Q9UE35
D000230,Q7LCB3
D001145,Q7LCB3
D001281,Q7LCB3
D001943,Q7LCB3
D002277,Q7LCB3
D002295,Q7LCB3
D002471,Q7LCB3
D019970,Q7LCB3
D015179,Q7LCB3
D003324,Q7LCB3
D003327,Q7LCB3
D016889,Q7LCB3
D004715,Q7LCB3
D007247,Q7LCB3
D015674,Q7LCB3
D008325,Q7LCB3
D011471,Q7LCB3
D001749,Q7LCB3
D001943,Q96I02
D003921,Q96I02
D009374,Q96I02
D005317,P62508
D010190,Q9NY74
D006528,P13804
D010003,P13804
D009765,Q547S8
D003924,Q6FG54
D008180,Q6FG54
D015427,Q6FG54
D001943,P15036
D019465,P15036
D009410,P15036
D015179,P50549
D011471,P50549
D011471,P41162
D001943,P43268
D009362,P43268
D011471,P43268
D011471,P41161
D015470,Q9UME7
D054198,Q9UME7
D019966,Q9UME7
D013921,Q9UME7
D001943,Q499Z9
D015179,Q499Z9
D011471,Q01844
D001943,Q5T399
D006528,Q5T399
D015179,Q5T399
D008113,Q13868
